language-name-text,中文 (繁體)
battle-log-healed-text,{character}治療了
overhealed-text,已過度治療
overheal-text,過度治療
executed-text,格殺
blocked-text,格擋
debuff-immune-text,減益免疫
failed-steal-text,偷取失敗
steal-text,偷取
escaped-text,逃離
cleanse-text,淨化
inventory-full-text,物品欄已滿
armor-break-text,護甲破裂！
counter-attack-break-text,反擊！
missing-mana-text,缺少法力
cleansed-text,已淨化
heal-text,治療
attack-text,攻擊
enter-text,進入
skip-text,跳過
open-text,開啟
sell-all-text,全部出售
close-text,關閉
demo-tower-completed-text,示範塔已完成
grants-stat-consumable-text,為本場戰鬥提供|{amount}||{stat}|
temp-stat-to-add-potion-description-text,為本場戰鬥提供|{stat}|
status-effect-potion-description-multiple-text,賦予 {amount} 層 |{status-effect}
status-effect-potion-description-single-text,賦予 1 層 |{status-effect}
potion-restores-text,恢復{amount}|{stat}
potion-regenerates-text,恢復 {amount} |{stat}
potion-repairs-text,修復 {amount}% 的 |{stat}
refills-every-battle-potion-text,每場戰鬥後補充
stat-transform-text,將 |{stat-1}| 轉化為 |{stat-2}
banished-item-text,放逐{item-name}
reforged-item-text,重鑄的 {item-name}
item-reforge-text,{item-name} 重鑄
banish-description-text,將 {item-name} 從塔中|\n|永久移除
unlock-requirements-description-text,解鎖所需的已完成戰鬥：
unlimited-amount-text,無限
max-amount-text,最大：{amount}
corrupted-fragment-text,損壞的碎片
specialization-text,專業化
unknown-enemy-text,未知敵人
unknown-item-text,未知物品
passive-set-text,被動套組
empty-set-text,空套裝
sell-for-text,出售以獲取
level-up-text,升級
chapter-text,章節
abilities-text,技能
ability-text,能力
passives-text,被動
passive-text,被動
rewards-text,獎勵
convert-text,轉化
upgrade-text,升級
command-list-text,指令
help-command-info-text,輸入{command}以獲取幫助
kick-command-info-text,{command} [player index]|\n|將玩家踢出大廳|\n|示例: {command} 1 (踢出你之後的第一個玩家)
end-game-text-text,在塔中鍛造；你的靈魂被證明是高尚的。
highest-floor-result-screen-text,最高樓層：{floor-number}
died-on-floor-text,在{floor-number}樓死亡
merchant-exclusive-text,商人專屬
upgrades-into-text,升級為:
highest-floor-text,最高樓層
floor-number-text,{number}樓
not-refinable-text,不可精煉
top-player-text,頂尖玩家
refinable-text,可精煉
deforge-text,返鍛
active-text,活躍
floor-text,樓層
split-text,分裂
elite-text,菁英
gold-text,金幣
level-text,Lv
set-text,套組
xp-text,XP
memories-button,存檔
name-label,名稱
lobbies-button,大廳
game-mode-label,遊戲模式
locked-label,鎖定
players-label,玩家
select-button,選擇
select-label,選擇
back-button,返回
button-label,按鈕
wishlist-on-steam!-label,新增至Steam願望清單！
enter-the-tower-button,進入塔中
library-button,圖鑑
library-label,圖鑑
workshop-button,工作坊
quit-button,退出
market-hover-name,市場
market-hover-description,<696969>每層都會添加新物品
market-hover-bottom-hint,顯示物品
refresh-market-hover-name,刷新市場
refresh-market-hover-description,<696969>價格在每場戰鬥後重置
sell-label,出售
split-label,拆分
search-line-edit,搜尋……
current-battle-label,當前戰鬥
turn-1-label,第1回合
normal-battle-label,普通戰鬥
ping-hover-name,延遲
ping-hover-description,
10-label,
open-button,開啟
loot-stash-hover-name,戰利品儲藏
loot-stash-hover-description,<696969>多餘的戰利品會放在這裡
button-button,按鈕
market-items-label,市場物品
close-button,關閉
waiting-for-all-players-to-connect-label,等待所有玩家建立連線……
floor-record-x-label,層數記錄: x
battle-log-button,戰鬥日誌
battle-log-label,戰鬥日誌
feedback-button,回饋意見
feedback-label,回饋意見
confirm-button,確認
overview-button,總覽
speedruns-button,速通
submit-run-button,送出競速破關
version-label,版本：
selection-label,選擇
highest-floor-10-label,最高樓層：10
top-player-label,頂尖玩家
time-label,時間
enter-password-line-edit,輸入密碼...
join-button,加入
password-label,密碼
connection-type-label,連線類型
challenge-drop-down-selection,挑戰
pvp-no-achievements-drop-down-selection,PvP [無成就]
practice-no-achievements-drop-down-selection,練習 [無成就]
public-label,公開
--credits--label,- 開發人員名單 -
thanks-button,感謝
no-tutorial-label,無教學
no-tutorial-info-label-label,本作認為學習應當透過|\n|實驗與發現完成; 而非透過指導。
proceed-button,繼續
items-button,物品
bestiary-button,怪獸圖鑑
synergies-button,協同效應
passives-button,被動
build-planner-label,建造規劃器
delete-label,刪除
build-1-label,建造 1
blue-team-label,藍隊
+-join-label,[+] 加入
player-name-label,玩家名稱
select-adventurer-label,選擇冒險者
red-team-label,紅隊
trials-label,試煉
configure-button,配置
0/4-label,0/4
begin-button,開始
begin-label,開始
restart-button,重新開始
restart-label,重新開始
resume-button,繼續
resume-label,繼續
options-button,選項
save-&-exit-button,儲存並離開
text-label,文字
controls-button,控制
video-button,影像
audio-button,音訊
misc-button,雜項
primary-action-button,主要操作
key-label,鑰匙
?-label,
listening-for-input-label,聆聽輸入……
ability-button,技能
skip-button,跳過
refresh-market-button,更新市場
brightness-label,亮度
contrast-label,對比
window-mode-label,視窗模式：
resolution-label,解析度：
v-sync-label,
music-label,音樂
sfx-label,音效
tooltip-lock-time-label,工具提示鎖定時間
language-label,語言：
chromatic-aberration-label,色差
display-run-time-label,顯示破關時間
screen-shake-label,螢幕震動
scan-lines-label,掃描線
reset-to-defaults-button,重設為預設值
->-label,
end-button,結束
enter-endless-button,進入無盡模式
refresh-merchant-hover-name,刷新商人
refresh-merchant-hover-description,<696969>提供新物品
upgrade-label,升級
-button,
stance-hover-name,姿態
activate-endless-button,啟用無盡模式
refresh-mystic-trader-hover-name,刷新神秘商人
refresh-mystic-trader-hover-description,<696969>召喚新物品
0/3-label,
request-to-dismantle-button,請求拆解
dismantle-button,拆解
windowed-window-mode-name,視窗
borderless-window-mode-name,無邊框
fullscreen-window-mode-name,全螢幕
challenge-game-mode-name,挑戰
pvp-game-mode-name,PvP
practice-game-mode-name,練習
-popup,
counter-attack!-popup,反擊！
lucky-attack-popup,幸運攻擊
armor-break!-popup,護甲破裂！
backstabbed-popup,被背刺
dodged-popup,閃避
parried-popup,招架
blocked-popup,格擋
missed-popup,未擊中
helmet-socket-name,頭盔
chestplate-socket-name,胸甲
leggings-socket-name,護腿
boots-socket-name,靴子
necklace-socket-name,項鍊
weapon-socket-name,武器
ring-socket-name,戒指
zefrot-item-name,澤弗羅特
totem-of-greed-item-name,貪婪圖騰
steak-item-name,牛排
ribbon-of-fortune-item-name,幸運緞帶
poor-mans-path-item-name,窮人的路
pallac-item-name,帕拉克
merchant-upgrade-item-name,商人升級
frokt-item-name,弗洛克特
poor-mans-blade-item-name,窮人之刃
wooden-shoes-item-name,木鞋
natures-gift-item-name,自然之禮
magical-stick-item-name,魔法棒
training-hammer-item-name,訓練鎚
natures-collar-item-name,自然之領
poor-mans-helmet-item-name,窮人頭盔
training-axe-item-name,訓練斧
wooden-plates-item-name,木板
leather-boots-item-name,皮靴
leather-helmet-item-name,皮頭盔
leather-pants-item-name,皮褲
leather-chestplate-item-name,皮胸甲
training-sword-item-name,訓練劍
insightus-item-name,洞察之眼
amulet-of-life-item-name,生命護符
starborn-ring-item-name,星生戒指
recruits-boots-item-name,新兵靴
keepsake-item-name,紀念物
recruits-hood-item-name,新兵兜帽
iron-dagger-item-name,鐵匕首
hunters-boots-item-name,獵人靴
hunters-hood-item-name,獵人兜帽
recruits-pants-item-name,新兵褲
chainmail-item-name,鏈甲
hunters-necklace-item-name,獵人項鍊
hunters-pants-item-name,獵人褲
recruits-cloak-item-name,新兵斗篷
hunters-ring-item-name,獵人戒指
hunters-jerkin-item-name,獵人上衣
crystal-staff-item-name,水晶杖
vitality-ring-item-name,活力戒指
ring-of-anger-item-name,怒火戒指
zephyrons-tome-item-name,澤菲рон之書
silver-ring-item-name,銀戒指
marauders-helmet-item-name,掠奪者頭盔
silver-sabatons-item-name,銀鎧靴
silver-helmet-item-name,銀頭盔
life-seeker-item-name,生命探索者
silver-leggings-item-name,銀護腿
zephyrons-magical-shoes-item-name,澤法隆魔法鞋
silver-chestplate-item-name,銀胸甲
zephyrons-eye-item-name,澤法隆之眼
bastolics-guardian-item-name,巴斯托利克的守護者
silver-sword-item-name,銀劍
zephyrons-magical-ring-item-name,澤法隆魔法戒指
bastolics-gauntlet-item-name,巴斯托利克的護手
zephyrons-magical-cloak-item-name,澤法隆魔法斗篷
zephyrons-magical-cap-item-name,澤法隆魔法帽
zephyrons-magical-staff-item-name,澤菲隆的魔法法杖
believers-locket-item-name,信徒吊墜
silver-axe-item-name,銀斧
tome-of-arcanum-item-name,奧術之書
arcanum-hood-item-name,奧術兜帽
golden-dagger-item-name,金匕首
golden-sabatons-item-name,金鎧靴
golden-helmet-item-name,金頭盔
arcanum-shoes-item-name,奧術鞋
golden-leggings-item-name,金護腿
arcanum-robe-item-name,奧術袍
golden-chestplate-item-name,金胸甲
precious-ring-item-name,珍貴戒指
magic-wand-item-name,魔法棒
golden-crown-item-name,金冠
golden-warden-item-name,黃金守護
greeds-grasp-item-name,貪婪之握
golden-sword-item-name,金劍
omni-ring-item-name,全能戒指
darkwood-plates-item-name,黑檀木甲
tome-of-attacks-item-name,攻擊之書
warriors-sabatons-item-name,勇士鎧靴
hunger-blade-item-name,飢餓之刃
warriors-helmet-item-name,勇士頭盔
famished-blade-item-name,饑饉之刃
unchained-gauntlet-item-name,無束臂鎧
blackthorn-sabatons-item-name,黑棘馬靴
warriors-leggings-item-name,勇士護腿
blackthorn-leggings-item-name,黑棘护腿
warriors-chestplate-item-name,勇士胸甲
warriors-war-hammer-item-name,勇士戰鎚
blackthorn-chestplate-item-name,黑棘胸甲
unchained-ring-item-name,無束戒指
hy-sword-item-name,高劍
pantaloons-of-greatness-item-name,偉人馬褲
warriors-ring-item-name,勇士戒指
blackthorn-crown-item-name,黑棘冠
orions-core-item-name,奧利恩之核
orions-path-item-name,奧利恩之路
orions-destiny-item-name,奧利恩命運
orions-leggings-item-name,奧利恩護腿
orions-sanguine-salvation-item-name,奧利恩血之救贖
orions-heart-item-name,奧利恩之心
orions-rage-item-name,奧利恩之怒
living-boots-item-name,活靴
living-helmet-item-name,活頭盔
living-leggings-item-name,活護腿
living-chestplate-item-name,活胸甲
berserkers-axe-item-name,狂戰士之斧
berserkers-helmet-item-name,狂戰士頭盔
eldrids-ring-item-name,艾翠德戒指
ring-of-power-item-name,力量戒指
silver-heart-item-name,白銀之心
thunderiders-item-name,雷霆騎士
thunderhelm-item-name,雷霆頭盔
royal-sabatons-item-name,皇家鎧靴
royal-helmet-item-name,皇家頭盔
royal-leggings-item-name,皇家護腿
thunderstriders-item-name,雷霆行者
royal-chestplate-item-name,皇家胸甲
thundergrace-item-name,雷霆恩典
thunderblade-item-name,雷霆之刃
thundervow-item-name,雷霆之誓
iron-eater-item-name,食鐵者
tome-of-darkness-item-name,暗黑之書
witherscar-item-name,枯萎之痕
dark-magical-ring-item-name,黑魔法戒指
nighthorn-item-name,夜棘
ashcrow-item-name,灰鴉
dark-harness-item-name,暗黑輓具
alchemists-wisdom-item-name,煉金師智慧
shadow-wisdom-item-name,暗影智慧
shadow-ring-item-name,暗影戒指
shadow-piercer-item-name,暗影刺槍
demonic-sabatons-item-name,惡魔鎧靴
shadow-cloak-item-name,暗影斗篷
shadow-echo-item-name,暗影回音
demonic-helmet-item-name,惡魔頭盔
demonic-axe-item-name,惡魔斧
shadow-sentence-item-name,暗影審判
shadow-vortex-item-name,暗影旋渦
demonic-leggings-item-name,惡魔護腿
demonic-claymore-item-name,惡魔闊劍
demonic-chestplate-item-name,惡魔胸甲
demonic-ring-item-name,惡魔戒指
shard-of-power-item-name,力量碎片
emperors-will-item-name,帝王意志
wooden-crown-item-name,木冠
witchcraft-leggings-item-name,巫術護腿
cursed-ring-item-name,詛咒戒指
cursed-necklace-item-name,詛咒項鍊
mask-of-the-cursed-item-name,詛咒面具
blade-of-the-ruined-item-name,毀滅者之刃
lightning-boots-item-name,閃電靴
shamans-robe-item-name,薩滿長袍
turtle-sabatons-item-name,龜鎧靴
turtle-leggings-item-name,龜護腿
cowards-ring-item-name,膽小鬼戒指
soul-collector-item-name,靈魂收藏者
heart-of-gold-item-name,黃金之心
turtle-chestplate-item-name,龜胸甲
elemental-necklace-item-name,元素項鍊
giants-ring-item-name,巨人戒指
black-oath-item-name,黑誓
turtle-gauntlet-item-name,龜甲手套
gloom-item-name,幽暗
qolk-item-name,科爾克
blake-item-name,布雷克
vampiric-helmet-item-name,吸血頭盔
vampiric-chestplate-item-name,吸血胸甲
glimmer-item-name,微光
vurk-item-name,威克
bloodedge-item-name,血鋒
ethercrests-tome-item-name,乙太冠之書
ethercrests-sabatons-item-name,乙太冠鎧靴
ethercrests-blade-item-name,乙太冠之刃
ethercrests-helmet-item-name,乙太冠頭盔
ethercrests-staff-item-name,乙太冠杖
ethercrests-sword-item-name,乙太冠劍
ethercrests-leggings-item-name,乙太冠護腿
ethercrests-chestplate-item-name,乙太冠胸甲
ethercrests-ring-item-name,乙太冠戒指
mask-of-cataclysm-item-name,災變面具
ring-of-interest-item-name,利益戒指
rod-of-doom-item-name,末日之棍
shadow-whisper-item-name,暗影低語者
magma-sabatons-item-name,熔岩鎧靴
magma-helmet-item-name,熔岩頭盔
magma-leggings-item-name,熔岩護腿
magma-chestplate-item-name,熔岩胸甲
magma-necklace-item-name,熔岩項鍊
magma-poleaxe-item-name,熔岩戰斧
ring-of-ice-item-name,寒冰戒指
jesters-bone-mask-item-name,弄臣骨面具
celestial-sabatons-item-name,天界胫甲
celestial-helmet-item-name,天界頭盔
celestial-leggings-item-name,天界護腿
celestial-chestplate-item-name,天界胸甲
throngler-item-name,索隆格
dawnbringer-item-name,破曉之劍
ring-of-unity-item-name,團結戒指
excalibur-item-name,王者之劍
ribbon-of-fortune-item-description,<696969>打開箱子時有25%的機率|\n|<696969>獲得額外物品
merchant-upgrade-item-description,解鎖 |[tinker]|
bloodedge-item-description,<696969>過去每擊殺一次都會變強
excalibur-item-description,<696969>來自湖中的贈禮
bat-enemy-name,蝙蝠
leafing-enemy-name,葉靈
fronk-enemy-name,佛隆克
boar-enemy-name,野豬
snow-pix-enemy-name,雪精靈
pebbling-enemy-name,鵝卵石
slime-enemy-name,史萊姆
rat-enemy-name,老鼠
goblin-enemy-name,哥布林
skeleton-warrior-enemy-name,骷髏勇士
shadow-wizard-enemy-name,暗影巫師
jellyrak-enemy-name,傑利拉克
efis-enemy-name,艾菲斯
rogue-enemy-name,惡棍
slorn-enemy-name,斯洛
armored-goblin-enemy-name,盔甲哥布林
stone-golem-enemy-name,石傀儡
witch-enemy-name,女巫
wizard-skeleton-enemy-name,巫師骷髏
giant-spider-enemy-name,大蜘蛛
blood-ghoul-enemy-name,血屍鬼
armored-spirit-enemy-name,盔甲幽靈
red-orc-enemy-name,紅獸人
snow-wraith-enemy-name,雪幽靈
venomous-spider-enemy-name,劇毒蜘蛛
harpy-enemy-name,哈皮
bravura-enemy-name,布拉武拉
fire-dragon-enemy-name,火龍
void-squid-enemy-name,虛空魷魚
brother-enemy-name,兄弟
shadow-ghost-enemy-name,暗影幽靈
kotya-enemy-name,科特亞
magma-golem-enemy-name,熔岩傀儡
overseer-enemy-name,監督者
braskap-enemy-name,布拉斯卡普
cloud-dragon-enemy-name,雲龍
ruined-king-enemy-name,毀滅之王
blinded-priest-enemy-name,盲眼牧師
morizon-enemy-name,魔力松
moon-enemy-name,月亮
cursed-abomination-enemy-name,詛咒的畸形怪
mars-enemy-name,火星
pinto-enemy-name,品托
neptune-enemy-name,海王星
thunder-dragon-enemy-name,雷霆巨龍
eldrids-flesh-enemy-name,艾翠德血肉
golden-guardian-enemy-name,黃金守衛
venus-enemy-name,金星
jupiter-enemy-name,木星
saturn-enemy-name,土星
uranus-enemy-name,天王星
sun-enemy-name,太陽
iron-golem-enemy-name,鋼鐵傀儡
windwatcher-enemy-name,風之觀察者
graven-enemy-name,格雷文
death-enemy-name,死神
perfect-slave-enemy-name,完美奴隸
common-chest-enemy-name,普通寶箱
golden-chest-enemy-name,黃金寶箱
heart-of-the-tower-enemy-name,高塔之心
merchant-enemy-name,商人
mystic-bison-enemy-name,神秘野牛
mystic-trader-enemy-name,神秘商人
training-dummy-enemy-name,訓練假人
ancient-ice-item-set-name,遠古寒冰
ancient-shell-item-set-name,遠古貝殼
arcanum-item-set-name,奧術
bastolic-item-set-name,巴斯托利克
berserker-item-set-name,狂戰士
blackthorn-item-set-name,黑棘
cataclysm-item-set-name,災變
celestial-item-set-name,天界
chromalure-item-set-name,色彩誘餌
consumable-item-set-name,消耗品
cursed-item-set-name,詛咒
darkness-item-set-name,暗黑
demonic-item-set-name,惡魔
essential-item-set-name,本質
flesh-item-set-name,血肉
generic-item-set-name,無奇
golden-item-set-name,黃金
hunter-item-set-name,獵人
jade-item-set-name,翠玉
legacy-item-set-name,傳承
magma-item-set-name,熔岩
mercenary-item-set-name,傭兵
orion-item-set-name,奧利恩
phantom-item-set-name,幻影
poverty-item-set-name,貧窮
reforge-item-set-name,重鑄
royal-item-set-name,皇家
scout-item-set-name,偵查
shadow-item-set-name,暗影
silver-item-set-name,白銀
swiftness-item-set-name,迅捷
thunder-item-set-name,雷霆
tome-item-set-name,書
unchained-item-set-name,無束
vampiric-item-set-name,吸血
warrior-item-set-name,勇士
wood-item-set-name,木頭
zephyron-item-set-name,澤法隆
beastbound-specialization-name,獸縛
bloodcaster-specialization-name,血法師
vampiercer-specialization-name,吸血
venomire-specialization-name,毒血鬼
bloodmoon-specialization-name,血月
moonlighter-specialization-name,月影者
nighthrust-specialization-name,夜之突襲
challenger-specialization-name,挑戰
chromaguard-specialization-name,變色衛
chromaspite-specialization-name,變色惡
chromathorn-specialization-name,變色
cinderthorn-specialization-name,餘燼
mindthorn-specialization-name,靈心
thornfrost-specialization-name,棘寒
dauntless-specialization-name,無畏
quickblade-specialization-name,快刃
rampager-specialization-name,狂怒
thunderborn-specialization-name,雷霆之裔
debilitator-specialization-name,衰弱者
mindbreaker-specialization-name,破心
deserter-specialization-name,背棄者
faithbound-specialization-name,信念
echomancer-specialization-name,回音
evadium-specialization-name,逃避
invulnerium-specialization-name,無傷
stunium-specialization-name,眩暈
harbinger-specialization-name,預兆
lionheart-specialization-name,獅心
pursuer-specialization-name,追逐者
striker-specialization-name,打擊者
windwalker-specialization-name,風行者
accuracy-stat-name,命中率
active-armor-stat-name,主動護甲
adaptive-attack-stat-name,自適應攻擊
agility-stat-name,敏捷
armor-stat-name,護甲
armor-damage-stat-name,護甲傷害
armor-shields-stat-name,護甲護盾
armor-steal-stat-name,護甲偷取
armored-attack-stat-name,裝甲攻擊
blackrot-damage-stat-name,黑蝕傷害
bleed-damage-stat-name,流血傷害
cinder-damage-stat-name,餘燼傷害
combat-stat-name,戰鬥
crit-chance-stat-name,爆擊率
critical-damage-stat-name,爆擊傷害
dazzle-stat-name,炫擊
dazzle-damage-stat-name,炫擊傷害
diamond-stat-name,鑽石
eldership-stat-name,長老會
electric-damage-stat-name,電擊傷害
electricity-stat-name,電擊
elemental-power-stat-name,元素力量
elemental-resistance-stat-name,元素抗性
energy-stat-name,能量
faith-stat-name,信仰
flow-stat-name,流
freeze-attack-stat-name,冰凍攻擊
freeze-damage-stat-name,冰凍傷害
gold-stat-name,金幣
gold-on-kill-stat-name,每次擊殺金幣
greed-stat-name,貪婪
health-stat-name,生命值
lethality-stat-name,致命性
life-steal-stat-name,偷取生命
luck-stat-name,幸運
magic-attack-stat-name,魔法攻擊
magic-damage-stat-name,魔法傷害
malice-stat-name,惡意
malice-damage-stat-name,惡意傷害
mana-stat-name,法力
max-health-stat-name,最大生命值
max-mana-stat-name,最大法力
omni-crit-chance-stat-name,全能爆擊率
omni-vamp-stat-name,全能吸血
penetration-stat-name,滲透
physical-attack-stat-name,物理攻擊
physical-damage-stat-name,物理傷害
poison-damage-stat-name,毒性傷害
power-stat-name,力量
random-stat-stat-name,隨機屬性
recovery-stat-name,復原力
spelldom-stat-name,魔控
tenacity-stat-name,韌性
total-attacks-stat-name,總攻擊
toughness-stat-name,剛強
toxicity-stat-name,毒性
true-damage-stat-name,真實傷害
wisdom-stat-name,智慧
enervation-status-effect-name,虛弱
enervated-status-effect-application-message,衰弱
weakness-status-effect-name,弱點
weakened-status-effect-application-message,削弱
black-curse-status-effect-name,黑色詛咒
cursed-status-effect-application-message,詛咒
curse-status-effect-name,詛咒
stun-status-effect-name,眩暈
stunned-status-effect-application-message,眩暈
slowness-status-effect-name,緩慢
slowed-status-effect-application-message,減速
confusion-status-effect-name,迷惑
confused-status-effect-application-message,迷惑
silence-status-effect-name,沉默
silenced-status-effect-application-message,沉默
toxic-transmute-status-effect-name,毒性轉化
poison-status-effect-name,中毒
poisoned-status-effect-application-message,中毒
bleed-status-effect-name,流血
sparkle-status-effect-name,炫光
sparkle-status-effect-application-message,炫光
magic-shield-status-effect-name,魔法護盾
ephemeral-armor-status-effect-name,短暫護甲
ephemeral-shell-status-effect-name,短暫貝殼
electro-charge-status-effect-name,電力充能
ephemeral-lock-status-effect-name,短暫鎖定
exhaustion-status-effect-name,精疲力盡
malice-shield-status-effect-name,惡意護盾
armor-shield-status-effect-name,盔甲護盾
freeze-status-effect-name,冰凍
frozen-status-effect-application-message,凍結
fear-status-effect-name,恐懼
invulnerability-status-effect-name,無敵
inherited-sin-status-effect-name,繼承之罪
arthurs-mark-status-effect-name,亞瑟標記
timeout-status-effect-name,暫停
cinder-essence-status-effect-name,餘燼精華
combat-insight-status-effect-name,戰鬥洞察
magic-blitz-status-effect-name,魔法閃擊
magic-blitz-status-effect-application-message,魔法閃擊
omni-blitz-status-effect-name,全能閃擊
omni-blitz-status-effect-application-message,全能閃擊
vimblow-status-effect-name,奮力一擊
dread-status-effect-name,懼怕
fury-status-effect-name,狂怒
fury-status-effect-application-message,狂怒
counter-attack-charge-status-effect-name,反擊充能
multi-attack-charge-status-effect-name,多重攻擊充能
stun-attack-charge-status-effect-name,眩暈攻擊充能
debuff-immunity-status-effect-name,減益免疫
golden-heart-status-effect-name,金心
golden-lock-status-effect-name,金鎖
lethality-status-effect-name,致命
madness-status-effect-name,瘋狂
focused-status-effect-name,專注
blindness-status-effect-name,盲眼
clarity-status-effect-name,清醒
elusive-status-effect-name,難捉摸
purification-status-effect-name,純化
grace-status-effect-name,恩典
curse-of-the-tower-status-effect-name,高塔詛咒
blue-team-status-effect-name,藍隊
red-team-status-effect-name,紅隊
unavoidable-keyword-name,無法避免
anti-steal-keyword-name,反偷取
attack-damage-keyword-name,攻擊傷害
execute-keyword-name,格殺
ascend-keyword-name,飛昇
tinker-keyword-name,修補
heal-keyword-name,治療
tier-i-reward-keyword-name,I級獎勵
critical-strike-battle-action-name,爆擊
counter-attack-battle-action-name,反擊
multi-attack-battle-action-name,多重攻擊
lucky-attack-battle-action-name,幸運攻擊
armor-break-battle-action-name,護甲破裂
omni-crit-battle-action-name,全能爆擊
polymorph-battle-action-name,變形
immolate-battle-action-name,犧牲
backstab-battle-action-name,背刺
cleanse-battle-action-name,淨化
dodge-battle-action-name,閃避
parry-battle-action-name,招架
block-battle-action-name,格擋
guard-battle-action-name,守衛
miss-battle-action-name,未擊中
hit-battle-action-name,擊中
arcane-roulette-ability-name,奧術輪盤
astral-dissolution-ability-name,星體消解
barrier-ability-name,屏障
bloodlust-aura-ability-name,嗜血光環
burden-of-power-ability-name,權力之重
confusion-strike-ability-name,迷惑打擊
death-strike-ability-name,死亡打擊
drain-react-ability-name,德雷恩反應
drop-of-chaos-ability-name,混亂之滴
enchanted-attack-ability-name,附魔攻擊
fear-of-faith-ability-name,信仰之懼
frozen-strike-ability-name,凍結打擊
frozen-wind-ability-name,凍風
galefire-ability-name,烈火
harness-ability-name,駕馭
headbutt-ability-name,頭槌
heart-of-iron-ability-name,鋼鐵之心
iron-will-ability-name,鋼鐵意志
