language-name-text,日本語
refresh-merchant-hover-name,商人を更新
refresh-merchant-hover-description,<696969>新しいアイテムを提供
upgrade-label,アップグレード
-button,
stance-hover-name,スタンス
activate-endless-button,エンドレスを有効化
refresh-mystic-trader-hover-name,ミスティックトレーダー更新
refresh-mystic-trader-hover-description,<696969>新しいアイテムを召喚
0/3-label,
request-to-dismantle-button,分解の要求
dismantle-button,分解
windowed-window-mode-name,ウィンドウ
borderless-window-mode-name,ボーダーレス
fullscreen-window-mode-name,フルスクリーン
challenge-game-mode-name,チャレンジ
pvp-game-mode-name,PvP
practice-game-mode-name,練習
-popup,
counter-attack!-popup,反撃！
lucky-attack-popup,ラッキー攻撃
armor-break!-popup,鎧破壊！
backstabbed-popup,背後から攻撃された
dodged-popup,回避
parried-popup,身かわし
blocked-popup,ブロック
missed-popup,失敗
helmet-socket-name,兜
chestplate-socket-name,チェストプレート
leggings-socket-name,レギンス
boots-socket-name,ブーツ
necklace-socket-name,ネックレス
weapon-socket-name,武器
ring-socket-name,指輪
zefrot-item-name,ゼフロット
totem-of-greed-item-name,強欲のトーテム
steak-item-name,ステーキ
ribbon-of-fortune-item-name,幸運のリボン
poor-mans-path-item-name,貧乏人の道
pallac-item-name,パラック
merchant-upgrade-item-name,商人アップグレード
frokt-item-name,フロクト
poor-mans-blade-item-name,劣化ブレード
wooden-shoes-item-name,木靴
natures-gift-item-name,自然の贈り物
magical-stick-item-name,魔法の棒
training-hammer-item-name,訓練用ハンマー
natures-collar-item-name,自然の首飾り
poor-mans-helmet-item-name,劣化兜
training-axe-item-name,訓練用斧
wooden-plates-item-name,木のプレート
leather-boots-item-name,革ブーツ
leather-helmet-item-name,革兜
leather-pants-item-name,革パンツ
leather-chestplate-item-name,革チェストプレート
training-sword-item-name,訓練用剣
insightus-item-name,インサイトス
amulet-of-life-item-name,命のアミュレット
starborn-ring-item-name,スターボーン指輪
recruits-boots-item-name,新兵のブーツ
keepsake-item-name,記念品
recruits-hood-item-name,新兵の頭巾
iron-dagger-item-name,鉄の短剣
hunters-boots-item-name,ハンターのブーツ
hunters-hood-item-name,ハンターの頭巾
recruits-pants-item-name,新兵のパンツ
chainmail-item-name,鎖帷子
hunters-necklace-item-name,ハンターのネックレス
hunters-pants-item-name,ハンターのパンツ
recruits-cloak-item-name,新兵のマント
hunters-ring-item-name,ハンターの指輪
hunters-jerkin-item-name,ハンターのジャーキン
crystal-staff-item-name,水晶ステッキ
vitality-ring-item-name,生気の指輪
ring-of-anger-item-name,怒りの指輪
zephyrons-tome-item-name,ゼフィロンの書
silver-ring-item-name,銀の指輪
marauders-helmet-item-name,略奪者の兜
silver-sabatons-item-name,銀のサバトン
silver-helmet-item-name,銀兜
life-seeker-item-name,ライフシーカー
silver-leggings-item-name,銀のレギンス
zephyrons-magical-shoes-item-name,ゼフィロンの魔法靴
silver-chestplate-item-name,銀のチェストプレート
zephyrons-eye-item-name,ゼフィロンの眼
bastolics-guardian-item-name,バストリックの守護者
silver-sword-item-name,銀の剣
zephyrons-magical-ring-item-name,ゼフィロンの魔法の指輪
bastolics-gauntlet-item-name,バストリックのガントレット
zephyrons-magical-cloak-item-name,ゼフィロンの魔法のマント
zephyrons-magical-cap-item-name,ゼフィロンの魔法帽
zephyrons-magical-staff-item-name,ゼフィロンの魔法の杖
believers-locket-item-name,信者のロケット
silver-axe-item-name,銀の斧
tome-of-arcanum-item-name,アルカナムの書物
arcanum-hood-item-name,アルカナムフード
golden-dagger-item-name,金の短剣
golden-sabatons-item-name,金のサバトン
golden-helmet-item-name,金の兜
arcanum-shoes-item-name,アルカナムの靴
golden-leggings-item-name,金のレギンス
arcanum-robe-item-name,アルカナムのローブ
golden-chestplate-item-name,金のチェストプレート
precious-ring-item-name,貴重な指輪
magic-wand-item-name,魔法の杖
golden-crown-item-name,金の冠
golden-warden-item-name,金のウォーデン
greeds-grasp-item-name,グリードの掌握
golden-sword-item-name,金の剣
omni-ring-item-name,オムニ指輪
darkwood-plates-item-name,ダークウッドアーマー
tome-of-attacks-item-name,攻撃の書
warriors-sabatons-item-name,戦士のサバトン
hunger-blade-item-name,ハンガーブレード
warriors-helmet-item-name,戦士の兜
famished-blade-item-name,飢えたブレード
unchained-gauntlet-item-name,解放のガントレット
blackthorn-sabatons-item-name,ブラックソーンのサバトン
warriors-leggings-item-name,戦士のレギンス
blackthorn-leggings-item-name,ブラックソーンのレギンス
warriors-chestplate-item-name,戦士のチェストプレート
warriors-war-hammer-item-name,戦士のハンマー
blackthorn-chestplate-item-name,ブラックソーンのチェストプレート
unchained-ring-item-name,解放の指輪
hy-sword-item-name,ハイソード
pantaloons-of-greatness-item-name,偉大なるパンタロン
warriors-ring-item-name,戦士の指輪
blackthorn-crown-item-name,ブラックソーンの冠
orions-core-item-name,オリオンのコア
orions-path-item-name,オリオンの道
orions-destiny-item-name,オリオンの運命
orions-leggings-item-name,オリオンのレギンス
orions-sanguine-salvation-item-name,オリオンの血滾る救済
orions-heart-item-name,オリオンの心臓
orions-rage-item-name,オリオンの憤怒
living-boots-item-name,生けるブーツ
living-helmet-item-name,生ける兜
living-leggings-item-name,生けるレギンス
living-chestplate-item-name,生けるチェストプレート
berserkers-axe-item-name,ベルセルクの斧
berserkers-helmet-item-name,バーサーカーヘルメット
eldrids-ring-item-name,エルドリドの指輪
ring-of-power-item-name,パワーの指輪
silver-heart-item-name,シルバーハート
thunderiders-item-name,サンダーライダー
thunderhelm-item-name,サンダーヘルム
royal-sabatons-item-name,王家のサバトン
royal-helmet-item-name,王家の兜
royal-leggings-item-name,王家のレギンス
thunderstriders-item-name,サンダーストライダー
royal-chestplate-item-name,王家のチェストプレート
thundergrace-item-name,サンダーグレース
thunderblade-item-name,サンダーブレード
thundervow-item-name,サンダーバウ
iron-eater-item-name,鉄喰い
tome-of-darkness-item-name,闇の書物
witherscar-item-name,腐毒
dark-magical-ring-item-name,闇の魔法の指輪
nighthorn-item-name,ナイトソーン
ashcrow-item-name,灰鴉
dark-harness-item-name,闇のハーネス
alchemists-wisdom-item-name,錬金術師の知恵
shadow-wisdom-item-name,影の知恵
shadow-ring-item-name,影の指輪
shadow-piercer-item-name,影の槍
demonic-sabatons-item-name,悪魔のサバトン
shadow-cloak-item-name,影のマント
shadow-echo-item-name,影のエコー
demonic-helmet-item-name,悪魔の兜
demonic-axe-item-name,悪魔の斧
shadow-sentence-item-name,影の宣告
shadow-vortex-item-name,影の渦
demonic-leggings-item-name,悪魔のレギンス
demonic-claymore-item-name,悪魔のクレイモア
demonic-chestplate-item-name,悪魔のチェストプレート
demonic-ring-item-name,悪魔の指輪
shard-of-power-item-name,力の欠片
emperors-will-item-name,皇帝の意志
wooden-crown-item-name,木の冠
witchcraft-leggings-item-name,魔女術のレギンス
cursed-ring-item-name,呪いの指輪
cursed-necklace-item-name,呪いのネックレス
mask-of-the-cursed-item-name,呪いの覆面
blade-of-the-ruined-item-name,壊滅のブレード
lightning-boots-item-name,ライトニングブーツ
shamans-robe-item-name,シャーマンのローブ
turtle-sabatons-item-name,亀のサバトン
turtle-leggings-item-name,亀のレギンス
cowards-ring-item-name,臆病者の指輪
soul-collector-item-name,魂の蒐集家
heart-of-gold-item-name,ゴールドの心臓
turtle-chestplate-item-name,亀のチェストプレート
elemental-necklace-item-name,元素ネックレス
giants-ring-item-name,巨人の指輪
black-oath-item-name,黒の誓い
turtle-gauntlet-item-name,タートルガントレット
gloom-item-name,グローン
qolk-item-name,クォルク
blake-item-name,ブレイク
vampiric-helmet-item-name,吸血鬼の兜
vampiric-chestplate-item-name,吸血鬼のチェストプレート
glimmer-item-name,グリマー
vurk-item-name,ヴァーク
bloodedge-item-name,ブラッドエッジ
ethercrests-tome-item-name,エーテルクレストの書物
ethercrests-sabatons-item-name,エーテルクレストのサバトン
ethercrests-blade-item-name,エーテルクレストのブレード
ethercrests-helmet-item-name,エーテルクレストの兜
ethercrests-staff-item-name,エーテルクレストのステッキ
ethercrests-sword-item-name,エーテルクレストの剣
ethercrests-leggings-item-name,エーテルクレストのレギンス
ethercrests-chestplate-item-name,エーテルクレストのチェストプレート
ethercrests-ring-item-name,エーテルクレストの指輪
mask-of-cataclysm-item-name,大変動の覆面
ring-of-interest-item-name,好奇心の指輪
rod-of-doom-item-name,破滅のロッド
shadow-whisper-item-name,影の囁き
magma-sabatons-item-name,マグマのサバトン
magma-helmet-item-name,マグマの兜
magma-leggings-item-name,マグマのレギンス
magma-chestplate-item-name,マグマのチェストプレート
magma-necklace-item-name,マグマのネックレス
magma-poleaxe-item-name,マグマの斧
ring-of-ice-item-name,氷の指輪
jesters-bone-mask-item-name,道化師の骨格覆面
celestial-sabatons-item-name,セレスティアルサバトン
celestial-helmet-item-name,天空の兜
celestial-leggings-item-name,天界のレギンス
celestial-chestplate-item-name,天上のチェストプレート
throngler-item-name,ソロンレール
dawnbringer-item-name,ドーンブリンガー
ring-of-unity-item-name,結束の指輪
excalibur-item-name,エクスカリバー
ribbon-of-fortune-item-description,<696969>宝箱を開ける時に|\n|<696969>25%の確率で追加アイテムをゲット
merchant-upgrade-item-description,|[tinker]| のアンロック
bloodedge-item-description,<696969>キル毎に強くなっていた
excalibur-item-description,<696969>湖からの贈り物
bat-enemy-name,コウモリ
leafing-enemy-name,リーフィン
fronk-enemy-name,フロンク
boar-enemy-name,イノシシ
snow-pix-enemy-name,雪ピクシー
pebbling-enemy-name,コイシ
slime-enemy-name,スライム
rat-enemy-name,ネズミ
goblin-enemy-name,ゴブリン
skeleton-warrior-enemy-name,骸骨戦士
shadow-wizard-enemy-name,影の魔術師
jellyrak-enemy-name,クラック
efis-enemy-name,エフィス
rogue-enemy-name,ローグ
slorn-enemy-name,スローン
armored-goblin-enemy-name,鎧ゴブリン
stone-golem-enemy-name,石ゴーレム
witch-enemy-name,魔女
wizard-skeleton-enemy-name,魔術師骸骨
giant-spider-enemy-name,巨大蜘蛛
blood-ghoul-enemy-name,ブラッドグール
armored-spirit-enemy-name,鎧精霊
red-orc-enemy-name,赤オーク
snow-wraith-enemy-name,雪の死霊
venomous-spider-enemy-name,毒蜘蛛
harpy-enemy-name,ハルピュイア
bravura-enemy-name,ブラヴーラ
fire-dragon-enemy-name,炎ドラゴン
void-squid-enemy-name,虚ろイカ
brother-enemy-name,兄弟
shadow-ghost-enemy-name,影の幽霊
kotya-enemy-name,コチャ
magma-golem-enemy-name,マグマゴーレム
overseer-enemy-name,オーバーシーアー
braskap-enemy-name,ブラスカップ
cloud-dragon-enemy-name,雲ドラゴン
ruined-king-enemy-name,破滅の王
blinded-priest-enemy-name,盲僧
morizon-enemy-name,モリゾン
moon-enemy-name,ムーン
cursed-abomination-enemy-name,呪われし異形
mars-enemy-name,マーズ
pinto-enemy-name,ピント
neptune-enemy-name,ネプチューン
thunder-dragon-enemy-name,サンダードラゴン
eldrids-flesh-enemy-name,エルドリッドの肉
golden-guardian-enemy-name,金のガーディアン
venus-enemy-name,ヴィーナス
jupiter-enemy-name,ジュピター
saturn-enemy-name,サターン
uranus-enemy-name,ウラヌス
sun-enemy-name,太陽
iron-golem-enemy-name,鉄ゴーレム
windwatcher-enemy-name,風の観察者
graven-enemy-name,グレイヴン
death-enemy-name,死神
perfect-slave-enemy-name,完全奴隷
common-chest-enemy-name,一般的な胸部
golden-chest-enemy-name,黄金の胸部
heart-of-the-tower-enemy-name,塔の中心
merchant-enemy-name,商人
mystic-bison-enemy-name,ミスティックバイソン
mystic-trader-enemy-name,ミスティックトレーダー
training-dummy-enemy-name,訓練用ダミー
ancient-ice-item-set-name,古代氷
ancient-shell-item-set-name,古代貝
arcanum-item-set-name,アルカナム
bastolic-item-set-name,バストリック
berserker-item-set-name,ベルセルク
blackthorn-item-set-name,ブラックソーン
cataclysm-item-set-name,大変動
celestial-item-set-name,天上界
chromalure-item-set-name,クロマルア
consumable-item-set-name,消耗品
cursed-item-set-name,呪い
darkness-item-set-name,闇
demonic-item-set-name,悪魔
essential-item-set-name,必需品
flesh-item-set-name,肉
generic-item-set-name,ベーシック
golden-item-set-name,金
hunter-item-set-name,ハンター
jade-item-set-name,翡翠
legacy-item-set-name,伝説
magma-item-set-name,マグマ
mercenary-item-set-name,傭兵
orion-item-set-name,オリオン
phantom-item-set-name,亡霊
poverty-item-set-name,貧民
reforge-item-set-name,リフォージ
royal-item-set-name,王家
scout-item-set-name,スカウト
shadow-item-set-name,影
silver-item-set-name,銀
swiftness-item-set-name,スピード
thunder-item-set-name,サンダー
tome-item-set-name,書
unchained-item-set-name,解放
vampiric-item-set-name,吸血鬼
warrior-item-set-name,戦士
wood-item-set-name,木材
zephyron-item-set-name,ゼフィロン
beastbound-specialization-name,ビーストバウンド
bloodcaster-specialization-name,ブラッドキャスター
vampiercer-specialization-name,ヴァンピアサー
venomire-specialization-name,ヴェノマイア
bloodmoon-specialization-name,血の月
moonlighter-specialization-name,月影使い
nighthrust-specialization-name,夜の突き
challenger-specialization-name,チャレンジャー
chromaguard-specialization-name,クロマガード
chromaspite-specialization-name,クロマスパイト
chromathorn-specialization-name,クロマソーン
cinderthorn-specialization-name,シンダソーン
mindthorn-specialization-name,マインドソーン
thornfrost-specialization-name,ソーンフロスト
dauntless-specialization-name,ドーントレス
quickblade-specialization-name,クイックブレード
rampager-specialization-name,ランページャー
thunderborn-specialization-name,サンダーボーン
debilitator-specialization-name,デビリテーター
mindbreaker-specialization-name,マインドブレーカー
deserter-specialization-name,デザーター
faithbound-specialization-name,フェイスバウンド
echomancer-specialization-name,エコーマンサー
evadium-specialization-name,イヴェイディウム
invulnerium-specialization-name,インバルネリウム
stunium-specialization-name,スタニウム
harbinger-specialization-name,ハービンジャー
lionheart-specialization-name,ライオンハート
pursuer-specialization-name,パスーワー
striker-specialization-name,ストライカー
windwalker-specialization-name,ウィンドウォーカー
accuracy-stat-name,命中
active-armor-stat-name,アクティブ鎧
adaptive-attack-stat-name,適応攻撃
agility-stat-name,敏捷性
armor-stat-name,鎧
armor-damage-stat-name,アーマーダメージ
armor-shields-stat-name,アーマーシールド
armor-steal-stat-name,鎧スティール
armored-attack-stat-name,アーマードアタック
blackrot-damage-stat-name,黒斑ダメージ
bleed-damage-stat-name,出血ダメージ
cinder-damage-stat-name,灰ダメージ
combat-stat-name,戦闘
crit-chance-stat-name,クリティカル確率
critical-damage-stat-name,クリティカルダメージ
dazzle-stat-name,目眩
dazzle-damage-stat-name,目眩ダメージ
diamond-stat-name,ダイヤモンド
eldership-stat-name,長老会
electric-damage-stat-name,電気ダメージ
electricity-stat-name,電気
elemental-power-stat-name,元素パワー
elemental-resistance-stat-name,元素耐性
energy-stat-name,エネルギー
faith-stat-name,信念
flow-stat-name,流れ
freeze-attack-stat-name,凍結攻撃
freeze-damage-stat-name,凍結ダメージ
gold-stat-name,ゴールド
gold-on-kill-stat-name,キル時のゴールド
greed-stat-name,グリード
health-stat-name,HP
lethality-stat-name,致命性
life-steal-stat-name,ライフスティール
luck-stat-name,運
magic-attack-stat-name,魔法攻撃
magic-damage-stat-name,魔法ダメージ
malice-stat-name,邪性
malice-damage-stat-name,邪性ダメージ
mana-stat-name,マナ
max-health-stat-name,最大HP
max-mana-stat-name,最大マナ
omni-crit-chance-stat-name,オムニクリティカル確率
omni-vamp-stat-name,オムニヴァンプ
penetration-stat-name,貫通
physical-attack-stat-name,物理攻撃
physical-damage-stat-name,物理ダメージ
poison-damage-stat-name,毒ダメージ
power-stat-name,パワー
random-stat-stat-name,ランダムステータス
recovery-stat-name,回復力
spelldom-stat-name,魔法支配
tenacity-stat-name,不屈
total-attacks-stat-name,攻撃回数
toughness-stat-name,耐性
toxicity-stat-name,毒性
true-damage-stat-name,確定ダメージ
wisdom-stat-name,知恵
enervation-status-effect-name,衰弱
enervated-status-effect-application-message,衰弱
weakness-status-effect-name,衰弱
weakened-status-effect-application-message,弱体化
black-curse-status-effect-name,黒い呪い
cursed-status-effect-application-message,呪い
curse-status-effect-name,呪い
stun-status-effect-name,スタン
stunned-status-effect-application-message,スタン
slowness-status-effect-name,速度低下
slowed-status-effect-application-message,速度低下
confusion-status-effect-name,錯乱
confused-status-effect-application-message,錯乱
silence-status-effect-name,沈黙
silenced-status-effect-application-message,沈黙
toxic-transmute-status-effect-name,毒の変換
poison-status-effect-name,毒
poisoned-status-effect-application-message,毒
bleed-status-effect-name,出血
sparkle-status-effect-name,閃光
sparkle-status-effect-application-message,閃光
magic-shield-status-effect-name,魔法盾
ephemeral-armor-status-effect-name,一時鎧
ephemeral-shell-status-effect-name,一時貝
electro-charge-status-effect-name,電気チャージ
ephemeral-lock-status-effect-name,一時ロック
exhaustion-status-effect-name,疲労
malice-shield-status-effect-name,邪性盾
armor-shield-status-effect-name,鎧盾
freeze-status-effect-name,凍結
frozen-status-effect-application-message,凍結
fear-status-effect-name,恐怖
invulnerability-status-effect-name,無敵
inherited-sin-status-effect-name,罪の継承
arthurs-mark-status-effect-name,アーサーの印
timeout-status-effect-name,タイムアウト
cinder-essence-status-effect-name,灰の真髄
combat-insight-status-effect-name,戦闘インサイト
magic-blitz-status-effect-name,魔法総攻撃
magic-blitz-status-effect-application-message,魔法総攻撃
omni-blitz-status-effect-name,オムニ総攻撃
omni-blitz-status-effect-application-message,オムニ総攻撃
vimblow-status-effect-name,ヴィンブロー
dread-status-effect-name,戦慄
fury-status-effect-name,憤激
fury-status-effect-application-message,憤激
counter-attack-charge-status-effect-name,カウンターアタックチャージ
multi-attack-charge-status-effect-name,マルチ攻撃チャージ
stun-attack-charge-status-effect-name,Ganmen-chāji
debuff-immunity-status-effect-name,デバフ免除
golden-heart-status-effect-name,金の心臓
golden-lock-status-effect-name,金のロック
lethality-status-effect-name,致死性
madness-status-effect-name,狂気
focused-status-effect-name,フォーカス
blindness-status-effect-name,失明
clarity-status-effect-name,意識
elusive-status-effect-name,エルーシブ
purification-status-effect-name,清め
grace-status-effect-name,恩寵
curse-of-the-tower-status-effect-name,塔の呪い
blue-team-status-effect-name,青チーム
red-team-status-effect-name,赤チーム
unavoidable-keyword-name,不可避
anti-steal-keyword-name,スティール対策
attack-damage-keyword-name,攻撃ダメージ
execute-keyword-name,処刑
ascend-keyword-name,昇天
