id,english,french,german,spanish,japanese,koreana,polish,portuguese,russian,schinese,tchinese
convert-to-battle-stats-text,Convert to Battle Stats,Convertir en stats de combat,In Kampfwerte umwandeln,Convertir en atributos de combate,バトルステータスに変換,배틀 스탯으로 전환,Przekształć w statystyki bitewne,Converter em atributos de batalha,Превратить в боевые характеристики,转化为战斗属性,轉換為戰鬥屬性
stat-per-kill-text,{stat} Per Kill,{stat} par élimination,{stat} pro getötetem Gegner,{stat} por muerte,キル毎に{stat},{stat}/킬,{stat}/zabójstwo,{stat} por abate,{stat} за каждое убийство,每次杀{stat},每次擊殺{stat}
item-found-text,{item-name} found,{item-name} trouvé,{item-name} gefunden,{item-name} encontrado,{item-name} が見つかりました,{item-name} 발견,Znaleziono {item-name},{item-name} encontrado,Найдено: {item-name},{item-name} 找到,{item-name} 找到
doubles-own-stat-text,Doubles own |{stat},Double sa |{stat},Verdoppelt eigene |{stat},Duplica su |{stat},|{stat} を 2 倍にする,|{stat} 을 두 배로 늘림,Podwaja własne |{stat},Dobra sua |{stat},Удваивает собственную |{stat},将自身 |{stat} 翻倍,將自身 |{stat} 翻倍
victory-text,Victory,Victoire,Sieg,Victoria,勝利,승리,Zwycięstwo,Vitória,Победа,胜利,勝利
defeat-text,Defeat,Défaite,Niederlage,Derrota,敗北,패배,Porażka,Derrota,Поражение,失败,失敗
ascend-text,Ascend,Ascension,Aufsteigen,Ascender,昇天,승천,Wniebowstąp,Ascender,Вознесение,飞升,飛昇
negative-flow-text,Negative |{flow}|; unequip item sets,|{flow}| négatif; enlevez des ensembles d'objets,Negativer |{flow}|; lege Gegendstandssets ab,Con |{flow}| negativo; desequipa conjuntos de objetos.,{flow}|不可。アイテムセットの装備を外してください,부정적 |{flow}|; 아이템 세트 장비 해제,Ujemna wartość statystyki |{flow}|; zdejmij zestawy przedmiotów,{flow}| negativo; desequipe conjuntos de itens,Отрицательный |{flow}|; снимите комплекты предметов,负|{flow}|；取消装备物品套组,負|{flow}|，取消裝備物品套組
cannot-be-dismantled-text,Cannot Be Dismantled,Démantèlement impossible,Kann nicht zerlegt werden,No se puede desmantelar,分解不可,분해할 수 없습니다,Nie można rozmontować,Não é possível desmanchar,Нельзя разобрать,无法分解,無法拆解
waiting-for-dismantle-text,Waiting for Dismantle,En attente de démantèlement,Warten auf Zerlegung,En espera de desmantelar,分解待ち,분해 대기 중,Oczekiwanie na rozmontowanie,Aguardando desmanchar,Ожидание разборки,等待分解,等待拆解
request-to-dismantle-text,Request to Dismantle,Demande de démantèlement,Anfrage zum Zerlegen,Solicitud para desmantelar,分解の要求,분해 요청,Żądanie rozmontowania,Solicitação para desmanchar,Запрос на разборку,请求分解,請求拆解
battles-remaining-text,Battles Remaining,Combats restants,Verbleibende Kämpfe,Combates restantes,残りバトル,남은 배틀,Pozostałe bitwy,Batalhas restantes,Осталось боев,剩余战斗,剩餘戰鬥
current-battle-text,Current Battle,Bataille en cours,Laufender Kampf,Batalla actual,現在の戦闘,현재 전투,Obecna bitwa,Batalha atual,Текущая битва,当前战斗,當前戰鬥
last-battle-text,Last Battle,Dernière bataille,Letzte Kampf,Última batalla,最後の戦闘,마지막 전투,Ostatnia bitwa,Última batalha,Последняя битва,最后一战,最後一戰
gold-per-battle-text,Gold Per Battle,Or par combat,Gold pro Kampf,Oro por combate,1バトルあたりのゴールド,골드/배틀,Złoto na bitwę,Ouro por batalha,Золота за бой,每场战斗金币,每場戰鬥金幣
gold-per-kill-text,Gold Per Kill,Or par élimination,Gold pro getötetem Gegner,Oro por muerte,1キルあたりのゴールド,골드/처치,Złoto na zabójstwo,Ouro por abate,Золота за убийство,每次击杀金币,每次擊殺金幣
enemy-player-immunity-text,Takes {amount}% Less Damage On||\n||{player-name}'s Turn,Subit {amount} % de dégâts en moins||\n||pendant le tour de {player-name},Erleidet {amount} % weniger Schaden in||\n||der Runde von {player-name},Recibe {amount} % menos de daño en||\n||el turno de {player-name}.,{player-name}のターン時||\n||被ダメージが{amount}%軽減する,{player-name}의 턴에||\n||받는 피해 -{amount}%,Otrzymuje {amount}% mniej obrażeń||\n||w turze gracza {player-name},Recebe {amount}% menos dano no||\n||turno de {player-name},Получает на {amount}% меньше урона||\n||во время хода игрока {player-name},在{player-name}的回合中||\n||承受的伤害降低{amount}%,在{player-name}的回合||\n||受到的傷害降低{amount}%
enemy-player-immunity-misc-text,Reduced by {amount}% every turn,Réduit de {amount} % par tour,Jede Runde um {amount} % verringert,Se reduce en un {amount} % cada turno.,ターン毎に{amount}%軽減,턴마다 -{amount}%,Co turę zmniejszana o {amount}%,Redução de {amount}% a cada turno,Каждый ход снижается на {amount}%,每回合降低{amount}%,每回合減少{amount}%
player-sent-an-item-text,{player-name} Sent You {item-name},{player-name} vous a envoyé {item-name},{player-name} hat dir {item-name} geschickt,{player-name} te ha enviado {item-name},{player-name}があなたに{item-name}を送った,{player-name} 님이 {item-name}을(를) 보냈습니다,{player-name} wysyła ci: {item-name},{player-name} mandou {item-name} para você,Игрок {player-name} отправляет вам: {item-name},{player-name}给你送来了{item-name},{player-name}送了{item-name}給你
send-item-to-player-text,Send Item,Envoyer l'objet,Gegenstand schicken,Enviar objeto,アイテムを送る,아이템 보내기,Wyślij przedmiot,Enviar item,Отправить предмет,发送物品,傳送物品
burnout-description-text,Burnout: effects are inactive,Burnout : effets inactifs,Burnout: Effekte sind inaktiv,Agotamiento: efectos inactivos,バーンアウト：効果は無効,번아웃: 효과 비활성,Wypalenie: efekty nieaktywne,Burnout: efeitos inativos,Выгорание: эффекты неактивны,倦怠：效果未激活,倦怠：效果未啟用
infuse-description-text,Grants item's stats and effects||\n||for this floor,Confère les stats et les effets de l'objet||\n||pour cet étage,Gewährt die Werte und Effekte des Gegenstands||\n||für diese Ebene,Otorga los atributos y efectos del objeto||\n||en este piso.,このフロアでアイテムのステータスと効果を||\n||付与する,이 층에 아이템||\n||능력치와 효과 부여,Zapewnia statystyki i efekty przedmiotu||\n||dla tego piętra,Concede atributos e efeitos de item||\n||neste andar,Дает характеристики и эффекты предмета||\n||на этом этаже,为该层提供||\n||物品属性和效果,提供此樓層的||\n||物品屬性及效果
infused-flow-info-text,infused; doesn't cost |{flow-stat},imprégné ; ne coûte pas de |{flow-stat},saturiert; kostet kein |{flow-stat},infusión; no cuesta |{flow-stat},注入。コストなし|{flow-stat},주입됨. |{flow-stat} 비용 없음,nasilony; nie wymaga: |{flow-stat},infusão; não custa |{flow-stat},влито; |{flow-stat}| не расходуется,已融合且未消耗|{flow-stat},已注入；不花費|{flow-stat}
infuse-text,Infuse,Imprégner,Saturieren,Infundir,注入,주입,Nasil,Infundir,Влить,融合,注入
to-open-battle-log-text,To Open Battle Log,Pour ouvrir le journal de combat,zum Öffnen des Kampflogs,para abrir registro de combate,バトル記録を開く,배틀 로그 열기,By otworzyć rejestr bitewny,Para abrir o registro de batalha,для открытия журнала боя,打开战斗日志,打開戰鬥日誌
to-unlock-stats-text,To Unlock Stats,Pour débloquer les stats,zum Entsperren der Werte,para desbloquear atributos,ステータスをアンロック,스탯 잠금 해제,By odblokować statystyki,Para desbloquear atributos,для разблокировки характеристик,以解锁属性,解鎖屬性
to-lock-stats-text,To Lock Stats,Pour bloquer les stats,zum Sperren der Werte,para bloquear atributos,ステータスをロック,스탯 잠금,By zablokować statystyki,Para bloquear atributos,для блокировки характеристик,以锁定属性,鎖定屬性
to-deselect-text,To Deselect,Pour désélectionner,zum Abwählen,para deseleccionar,選択解除,선택 해제,By odznaczyć,Para desselecionar,для отмены выбора,以取消选择,取消選擇
to-convert-text,To Convert,Pour convertir,zum Umwandeln,para convertir,変換,전환,By przekształcić,Para converter,для превращения,以转化,轉換
to-select-text,To Select,Pour sélectionner,zum Auswählen,para seleccionar,選択,선택,By wybrać,Para selecionar,для выбора,以选择,選擇
to-toggle-text,To Toggle,Pour basculer,zum Umschalten,para alternar,切り替え,토글,By przełączyć,Para alternar,для переключения,以切换,切換
to-unlock-text,To Unlock,Pour débloquer,zum Freischalten,para desbloquear,アンロック,잠금 해제,By odblokować,Para desbloquear,для разблокировки,解锁,解鎖
to-learn-text,To Learn,Pour apprendre,Zum Erlernen,Para aprender,習得するには,배우려면,Aby nauczyć się,Para aprender,Чтобы изучить,要学习,要學習
to-lock-text,To Lock,Pour verrouiller,zum Verschließen,para cerrar,ロック,잠금,By zablokować,Para bloquear,для блокировки,以锁定,鎖定
to-consume-text,To Consume,Pour consommer,zum Verbrauchen,para consumir,消費,소비,By użyć,Para consumir,для расхода,以继续,繼續
to-activate-text,To Activate,Pour activer,zum Aktivieren,para activar,有効化する,활성화,By aktywować,Para ativar,для активации,以激活,啟用
to-restore-text,To Restore,Pour restaurer,zum Wiederherstellen,para restaurar,回復する,복구,By przywrócić,Para restaurar,для восстановления,以回复,恢復
to-remove-text,To Remove,Pour enlever,zum Entfernen,para quitar,削除,제거,By usunąć,Para remover,для снятия,以移除,移除
to-banish-text,To Banish,Pour bannir,Zum Verbannen,Para desterrar,除外する,소멸시키려면,Aby wygnać,Para banir,Чтобы изгнать,以放逐,以放逐
to-equip-text,To Equip,Pour s'équiper,zum Anlegen,para equiparte,装備,장착,By dodać do ekwipunku,Para equipar,для использования,以装备,裝備
to-swap-text,To Swap,Pour échanger,zum Wechseln,para intercambiar,交換,교체,By zamienić,Para trocar,для замены,以交换,交換
to-take-text,To Take,Pour prendre,zum Nehmen,para coger,取る,획득,By wziąć,Para pegar,для получения,以拿取,拿取
to-buy-text,To Buy,Pour acheter,zum Kaufen,para comprar,購入,구매,By kupić,Para comprar,для покупки,以购买,購買
silenced-text,Silenced,Réduit au silence,Schweigt,Silencio,沈黙,침묵 적용됨,Uciszono,Silenciado,Безмолвие,沉默,沉默
highest-text,Highest,Plus élevé,Höchste,Más alto,最高,최고,Najwyższy,Mais alto,Наивысш.,最高,最高
cost-text,Cost,Coût,Kosten,Coste,コスト,비용,Koszt,Custo,Стоимость,花费,花費
diamond-reward-text,Get an extra {diamond} every {floor} floors,Obtenez un {diamond} supplémentaire tous les {floor} étages,Erhalte alle {floor} Stockwerke einen zusätzlichen {diamond},Consigue un {diamond} extra cada {floor} pisos,{floor}階ごとに{diamond}を追加で入手,{floor}층마다 추가 {diamond} 획득,Otrzymaj dodatkowy {diamond} co {floor} pięter,Receba um {diamond} extra a cada {floor} andares,Получайте дополнительный {diamond} каждые {floor} этажей,每 {floor} 层获得一个额外的 {diamond},每 {floor} 層獲得一個額外的 {diamond}
gold-start-text,Start with +{amount} {gold},Commencez avec +{amount} {gold},Beginne mit +{amount} {gold},Empieza con +{amount} {gold},#ERROR!,`+{amount} {gold}로 시작,Rozpocznij z +{amount} {gold},Comece com +{amount} {gold},Начните с +{amount} {gold},开始时拥有 +{amount} {gold},開始時擁有 +{amount} {gold}
reforge-token-description-text,+{amount}% chance for |{stat}| to be||\n||applied on a reforged item,+{amount}% de chance que |{stat}| soit||\n||appliqué sur un objet reforgé,+{amount}% Chance; dass |{stat}| auf einen||\n||neu geschmiedeten Gegenstand angewendet wird,+{amount}% de probabilidad de que |{stat}| se aplique||\n||en un objeto reforjado,鍛え直したアイテムに |{stat}| が適用される確率 +{amount}%,재제작된 아이템에 |{stat}|이 적용될 확률 +{amount}%,+{amount}% szansy; że |{stat}| zostanie zastosowane||\n||na przekutym przedmiocie,+{amount}% de chance de |{stat}| ser||\n||aplicado em um item reforjado,+{amount}% шанс; что |{stat}| будет применен||\n||к перекованному предмету,+{amount}% 几率使 |{stat}| 应用于||\n||重铸物品上,+{amount}% 機率使 |{stat}| 應用於||\n||重鑄物品上
item-multiplier-text,Multiply this stat by total |{item-set}| items equipped,Multiplie cette stat par le nombre total d'objets |{item-set}| équipés,Multipliziere diesen Wert mit den gesamten angelegten |{item-set}|-Gegenständen,Multiplica este atributo por el total de objetos de |{item-set}| equipados.,装備した合計|{item-set}|アイテム掛けるステータス分倍増する,장착한 총 |{item-set}| 아이템을 이 스탯에 곱합니다,Pomnóż tę statystykę przez łączną liczbę przedmiotów z zestawu |{item-set}| w ekwipunku,Multiplique este atributo pela quantidade de itens do conjunto |{item-set}| equipados,Эта характеристика умножается на число использованных предметов комплекта |{item-set},根据装备的|{item-set}|物品总数对该属性进行翻倍加成,將此屬性乘以所有裝備的|{item-set}|物品
specialization-info-text,Transforms |{item-set}| into |{specialization},Transforme |{item-set}| en |{specialization}|,Verwandelt |{item-set}| in |{specialization}|,Transforma |{item-set}| en |{specialization}|,|{item-set}| を |{specialization}| に変換,|{item-set}|을 |{specialization}|(으)로 변환,Przekształca |{item-set}| w |{specialization}|,Transforma |{item-set}| em |{specialization}|,Преобразует |{item-set}| в |{specialization}|,将 |{item-set}| 转化为 |{specialization}|,將 |{item-set}| 轉化為 |{specialization}|
required-item-sets-text,Required |{item-set}| item to be equipped,Nécessite d'être équipé d'un objet de |{item-set}|,Erfordert angelegten |{item-set}|-Gegenstand,Objeto de |{item-set}| requerido para equipar.,{item-set}|アイテムの装備が必要,장착하려면 |{item-set}| 아이템이 필요합니다,To wymaga dodania przedmiotu z zestawu |{item-set}| do ekwipunku,Requer que item de |{item-set}| seja equipado,Требуется использовать предмет комплекта |{item-set},需要|{item-set}|物品才可装备,需要|{item-set}|物品才可裝備
required-stat-text,Required |{stat},Requis |{stat},Erforderlich |{stat},Requerido |{stat},必要 |{stat},필요 |{stat},Wymagane |{stat},Necessário |{stat},Требуется |{stat},需要 |{stat},需要 |{stat}
cant-move-during-battle-text,Can't Move During Battle,Déplacement impossible pendant le combat,Keine Bewegung im Kampf,No se puede mover durante el combate,戦闘中は移動不可,전투 중 이동 불가,Nie można się poruszać podczas bitwy,Não é possível mover-se durante a batalha,Нельзя двигаться во время боя,战斗中无法移动,戰鬥中無法移動
missing-item-socket-text,Missing {socket-name} Socket,Manque de socket {socket-name},Fehlender {socket-name} Socket,Falta el socket {socket-name},{socket-name} ソケットがありません,{socket-name} 소켓 누락,Brak gniazda {socket-name},Falta de Socket {socket-name},Нет гнезда: {socket-name},缺少 {socket-name} 插槽,缺少 {socket-name} 插槽
item-set-no-flow-text,{item-set}| costs 0% |{flow},|{item-set}| coûte 0 % |{flow}|,|{item-set}| kostet 0 % |{flow}|,|{item-set}| cuesta 0 % |{flow}|,|{item-set}| のコストは 0% |{flow}|,|{item-set}|의 비용은 0% |{flow}|,|{item-set}| kosztuje 0% |{flow}|,|{item-set}| custa 0% |{flow}|,|{item-set}| стоит 0% |{flow}|,|{item-set}| 的费用为 0% |{flow}|,|{item-set}| 的費用為 0% |{flow}|
item-set-limit-reached-text,Item Set Limit Reached,Limite d'ensembles d'objets atteinte,Gegenstandsset-Begrenzung erreicht,Alcanzado límite de objetos,アイテムセット制限に到達,아이템 세트 제한 도달,Osiągnięto limit zestawów przedmiotów,Limite de conjunto de itens atingido,Достигнут лимит комплектов,达到物品套组限制,已達到物品套組限制
cant-equip-duplicates-text,Can't Equip Duplicates,Impossible d'équiper des doublons,Kann Duplikate nicht anlegen,No se pueden equipar duplicados,同じアイテムは装備できない,복제본 장착 불가능,Nie można dodać duplikatów do ekwipunku,Não é possível equipar repetidos,Нельзя использовать дубликаты,无法装备重复项目,無法裝備重複物品
cannot-be-upgraded-text,Cannot be upgraded,Ne peut pas être amélioré,Kann nicht verbessert werden,No puede mejorarse,強化できません,업그레이드할 수 없습니다,Nie można ulepszyć,Não pode ser aprimorado,Нельзя улучшить,无法升级,無法升級
unlearned-ability-text,Unlearned Ability,Capacité non apprise,Nicht erlernte Fähigkeit,Habilidad no aprendida,未習得のアビリティ,미습득 능력,Nieopanowana zdolność,Habilidade não aprendida,Неизученная способность,未学习的能力,未學習的能力
learn-ability-text,Learn {ability},Apprendre {ability},{ability} lernen,Aprender {ability},{ability} を習得,{ability} 배우기,Naucz się {ability},Aprender {ability},Изучить {ability},学习 {ability},學習 {ability}
skip-stance-text,Skip: don't attack this turn,Passer : n'attaquez pas ce tour,Überspringen: diesen Zug nicht angreifen,Omitir: no atacar este turno,スキップ：このターンは攻撃しない,건너뛰기: 이번 턴 공격 안 함,Pomiń: nie atakuj w tej turze,Pular: não atacar neste turno,Пропустить: не атаковать в этот ход,跳过：本回合不攻击,跳過：本回合不攻擊
guard-stance-text,Guard: recieve {amount}% less damage this turn,Garde : recevez {amount}% de dégâts en moins ce tour,Abwehr: Erleide in dieser Runde {amount}% weniger Schaden,Guardia: recibe {amount}% menos de daño este turno,ガード：このターン; 受けるダメージが{amount}%減少,방어: 이번 턴에 받는 피해 {amount}% 감소,Obrona: otrzymaj {amount}% mniej obrażeń w tej turze,Guarda: receba {amount}% menos dano neste turno,Защита: в этот ход получаемый урон снижен на {amount}%,防御：本回合受到的伤害降低{amount}%,防禦：本回合受到的傷害降低{amount}%
attack-on-activation-ability-text,attack on activation,attaque à l’activation,Angriff bei Aktivierung,ataque al activarse,発動時に攻撃,발동 시 공격,Atak przy aktywacji,ataque ao ativar,атака при активации,激活时攻击,啟動時攻擊
reforged-item-stats-text,Reforged Item Stats,Statistiques de l'objet reforgé,Neu geschmiedete Gegenstandsattribute,Estadísticas de objeto reforjado,鍛え直したアイテムのステータス,재제작 아이템 능력치,Statystyki przekutego przedmiotu,Estatísticas do item reformado,Характеристики перекованного предмета,重铸物品属性,重鑄物品屬性
favorite-item-sets-text,Favorite Item Sets,Ensembles d'objets favoris,Lieblingsgegenstandssets,Conjuntos de objetos favoritos,お気に入りのアイテムセット,즐겨찾는 아이템 세트,Ulubione zestawy przedmiotów,Conjuntos de itens favoritos,Избранные наборы предметов,收藏的物品套装,收藏的物品套裝
market-item-sets-text,Market Item Sets,Ensembles d'objets du marché,Marktgegenstandssets,Conjuntos de objetos del mercado,マーケットのアイテムセット,시장 아이템 세트,Zestawy przedmiotów z rynku,Conjuntos de itens do mercado,Наборы предметов с рынка,市场物品套装,市場物品套裝
tinker-kit-item-name-text,Tinker Kit,Kit de bricolage,Tüftlerausrüstung,Kit de herramientas,工作キット,땜장이 키트,Zestaw majsterkowicza,Kit de artesão,Набор для умельца,修补工具包,修補工具包
battle-information-text,Battle Information,Informations de combat,Kampfinformationen,Información de combate,バトル情報,배틀 정보,Informacje o bitwie,Informações da batalha,Сведения о бое,战斗信息,戰鬥資訊
current-turn-text,Turn {turn-number},Tour {turn-number},Runde {turn-number},Turno {turn-number},ターン{turn-number},턴 {turn-number},Tura {turn-number},Turno {turn-number},Ход {turn-number},第{turn-number}回合,第{turn-number}回合
local-player-name-text,You,Vous,Du,Tú,あなた,나,Ty,Você,Вы,你,你
dead-text,Dead,Mort,Tot,Sin vida,死亡,사망,Nie żyje,Morto,Смерть,死亡,死亡
battle-log-applied-status-effect-text,{character-1} applied status effect on {character-2},{character-1} a appliqué un effet à {character-2},{character-1} hat einen Statuseffekt auf {character-2} angewendet,{character-1} ha aplicado un efecto de estado a {character-2},{character-1}は{character-2}にステータス効果を付与した,{character-1}이(가) {character-2}에게 상태 효과를 부여했습니다,{character-1} wywołuje efekt stanu u postaci {character-2},{character-1} aplicou um efeito de estado em {character-2},{character-2} — получен эффект состояния ({character-1}),{character-1}对{character-2}施加了状态效果,{character-1}對{character-2}施加了狀態效果
battle-log-applied-status-on-self-text,{character} applied status effect on self,{character} s'est appliqué un effet,{character} hat einen Statuseffekt auf sich selbst angewendet,{character} se ha aplicado un efecto de estado,{character}は自らにステータス効果を付与した,{character}이(가) 자신에게 상태 효과를 부여했습니다,{character} wywołuje efekt stanu u siebie,{character} aplicou um efeito de estado a si,{character} — наложен эффект состояния на себя,{character}对自身施加了状态效果,{character}對自己施加了狀態效果
battle-log-received-damage-from-source-text,{character} received damage from {source},{character} a subi des dégâts de {source},{character} hat durch {source} Schaden erlitten,{character} ha recibido daño de {source},{character}は{source}からダメージを受けた,{character}이(가) {source}에 피해를 입었습니다,{character} otrzymuje obrażenia spowodowane przez: {source},{character} recebeu dano de {source},{character} — получен урон ({source}),{character}受到了来自{source}的伤害,{character}受到來自{source}的傷害
battle-log-received-damage-text,{character} received damage,{character} a subi des dégâts,{character} hat Schaden erlitten,{character} ha recibido daño,{character}はダメージを受けた,{character}이(가) 피해를 입었습니다,{character} otrzymuje obrażenia,{character} recebeu dano,{character} — получен урон,{character}受到了伤害,{character}受到了傷害
battle-log-hit-with-text,{character-1} hit {character-2} with {source},{character-1} a touché {character-2} avec {source},{character-1} hat {character-2} mit {source} getroffen,{character-1} ha acertado a {character-2} con {source},{character-1}は{source}で{character-2}をヒットした,{character-1}이(가) {source}(으)로 {character-2}을(를) 가격했습니다,{character-1} trafia: {character-2}; używając: {source},{character-1} atingiu {character-2} com {source},{character-2} — получена атака ({character-1},{source}),{character-1}使用{source}命中了{character-2}
battle-log-activated-effect-text,{character} activated effect,{character} a activé un effet,{character} hat einen Effekt aktiviert,{character} ha activado un efecto,{character}は効果を発動した,{character}이(가) 효과를 발동했습니다,{character} aktywuje efekt,{character} ativou um efeito,{character} — активирован эффект,{character}激活了效果,{character}啟動了效果
battle-log-parry-text,{character-1} parried {character-2},{character-1} a paré {character-2},{character-1} hat {character-2} pariert,{character-1} paró el ataque de {character-2},{character-1}は{character-2}をかわした,{character-1}이(가) {character-2}의 공격을 모면했습니다,{character-1} paruje atak wyprowadzony przez: {character-2},{character-1} aparou {character-2},{character-1} — парирование атаки ({character-2}),{character-1}招架了{character-2},{character-1}招架了{character-2}
battle-log-block-text,{character-1} blocked {character-2},{character-1} a bloqué {character-2},{character-1} hat {character-2} geblockt,{character-1} ha bloqueado a {character-2},{character-1}は{character-2}をブロックした,{character-1}이(가) {character-2}을(를) 차단했습니다,{character-1} blokuje: {character-2},{character-1} bloqueou {character-2},{character-1} — использован блок атаки ({character-2}),{character-1}格挡了{character-2},{character-1}格擋了{character-2}
battle-log-killed-text,{character-1} killed {character-2},{character-1} a éliminé {character-2},{character-1} hat {character-2} getötet,{character-1} ha acabado con {character-2},{character-1}は{character-2}をキルした,{character-1}이(가) {character-2}을(를) 처치했습니다,{character-1} zabija: {character-2},{character-1} abateu {character-2},{character-2} — смерть ({character-1}),{character-1}杀死了{character-2},{character-1}擊殺了{character-2}
battle-log-steal-text,{character} stole from {source},{character} a volé {source},{character} stahl von {source},{character} robó de {source},{character} が {source} から盗んだ,{character}가 {source}에서 훔쳤습니다,{character} ukradł od {source},{character} roubou de {source},{character} украл у {source},{character} 从 {source} 偷走了,{character} 從 {source} 偷走了
