language-name-text,Polski
item-multiplier-text,Pomnóż tę statystykę przez łączną liczbę przedmiotów z zestawu |{item-set}| w ekwipunku
specialization-info-text,Przekształca |{item-set}| w |{specialization}|
required-item-sets-text,To wymaga dodania przedmiotu z zestawu |{item-set}| do ekwipunku
required-stat-text,Wymagane |{stat}
cant-move-during-battle-text,Nie można się poruszać podczas bitwy
missing-item-socket-text,Brak gniazda {socket-name}
item-set-no-flow-text,|{item-set}| kosztuje 0% |{flow}|
item-set-limit-reached-text,Osiągnięto limit zestawów przedmiotów
cant-equip-duplicates-text,Nie można dodać duplikatów do ekwipunku
cannot-be-upgraded-text,Nie można ulepszyć
unlearned-ability-text,Nieopanowana zdolność
learn-ability-text,Naucz się {ability}
skip-stance-text,Pomiń: nie atakuj w tej turze
guard-stance-text,Obrona: otrzymaj {amount}% mniej obrażeń w tej turze
attack-on-activation-ability-text,Atak przy aktywacji
reforged-item-stats-text,Statystyki przekutego przedmiotu
favorite-item-sets-text,Ulubione zestawy przedmiotów
market-item-sets-text,Zestawy przedmiotów z rynku
tinker-kit-item-name-text,Zestaw majsterkowicza
battle-information-text,Informacje o bitwie
current-turn-text,Tura {turn-number}
local-player-name-text,Ty
dead-text,Nie żyje
battle-log-applied-status-effect-text,{character-1} wywołuje efekt stanu u postaci {character-2}
battle-log-applied-status-on-self-text,{character} wywołuje efekt stanu u siebie
battle-log-received-damage-from-source-text,{character} otrzymuje obrażenia spowodowane przez: {source}
battle-log-received-damage-text,{character} otrzymuje obrażenia
battle-log-hit-with-text,{character-1} trafia: {character-2}; używając: {source}
battle-log-activated-effect-text,{character} aktywuje efekt
battle-log-parry-text,{character-1} paruje atak wyprowadzony przez: {character-2}
battle-log-block-text,{character-1} blokuje: {character-2}
battle-log-killed-text,{character-1} zabija: {character-2}
battle-log-steal-text,{character} ukradł od {source}
battle-log-hit-text,{character-1} trafia: {character-2}
battle-log-cleanse-text,{character}: oczyszczono
battle-log-dodged-text,{character} wykonuje unik
battle-log-healed-text,{character} uzdrawia się
overhealed-text,Przekroczono leczenie
overheal-text,Przekroczenie leczenia
executed-text,Dokonano egzekucji
blocked-text,Zablokowano
debuff-immune-text,Uniewrażliwiono na negatywne efekty
failed-steal-text,Nieudana kradzież
steal-text,Kradzież
escaped-text,Udana ucieczka
cleanse-text,Oczyszczenie
inventory-full-text,Brak miejsca
armor-break-text,Skruszenie pancerza!
counter-attack-break-text,Kontratak!
missing-mana-text,Zużyta mana
cleansed-text,Oczyszczono
heal-text,Uzdrowienie
attack-text,Atak
enter-text,Wejdź
skip-text,Pomiń
open-text,Otwórz
sell-all-text,Sprzedaj wszystko
close-text,Zamknij
demo-tower-completed-text,Ukończono wersję demonstracyjną wieży
grants-stat-consumable-text,Na czas tej bitwy przyznaje: |{amount}| |{stat}|
temp-stat-to-add-potion-description-text,Na czas tej bitwy przyznaje statystykę |{stat}|
status-effect-potion-description-multiple-text,Przyznaje {amount} stosów |{status-effect}
status-effect-potion-description-single-text,Przyznaje jeden stos |{status-effect}
potion-restores-text,Przywraca {amount} pkt statystyki |{stat}
potion-regenerates-text,Regeneruje {amount} |{stat}
potion-repairs-text,Naprawia {amount}% twojego |{stat}
refills-every-battle-potion-text,Odnawia się po każdej walce
stat-transform-text,Przekształca |{stat-1}| w |{stat-2}
banished-item-text,Wygnany przedmiot: {item-name}
reforged-item-text,{item-name} przekuty
item-reforge-text,Przekucie {item-name}
banish-description-text,Trwale usuwa {item-name}|\n|z wieży
unlock-requirements-description-text,Wymagane ukończone bitwy do odblokowania:
unlimited-amount-text,Nieograniczony
max-amount-text,Maks.: {amount}
corrupted-fragment-text,Wypaczony fragment
specialization-text,Specjalizacja
unknown-enemy-text,Nieznany Wróg
unknown-item-text,Nieznany Przedmiot
passive-set-text,Pasywny zestaw
empty-set-text,Pusty Zestaw
sell-for-text,Sprzedaj za
level-up-text,Zwiększenie poziomu
chapter-text,Rozdział
abilities-text,Umiejętności
ability-text,Umiejętność
passives-text,Pasywne
passive-text,Pasywne
rewards-text,Nagrody
convert-text,Konwertuj
upgrade-text,Ulepsz
command-list-text,polecenia
help-command-info-text,wpisz {command} aby uzyskać pomoc
kick-command-info-text,{command} [player index]|\n|wyrzuca gracza z lobby|\n|przykład: {command} 1 (wyrzuca pierwszego gracza po tobie)
end-game-text-text,Wykuta w wieży; twoja dusza dowiodła swej wartości.
highest-floor-result-screen-text,Najwyższe piętro: {floor-number}
died-on-floor-text,Śmierć na piętrze {floor-number}
merchant-exclusive-text,Wyłącznie u handlarza
upgrades-into-text,Ulepsza do:
highest-floor-text,Najwyższe piętro
floor-number-text,Piętro {number}
not-refinable-text,Nie do udoskonalenia
top-player-text,Najlepszy gracz
refinable-text,Do udoskonalenia
deforge-text,Odkuwaj
active-text,Aktywny
floor-text,Piętro
split-text,Podzielić
elite-text,Elita
gold-text,Złoto
level-text,Poz
set-text,Zestaw
xp-text,PD
memories-button,wspomnienia
name-label,Nazwa
lobbies-button,lobby
game-mode-label,Tryb gry
locked-label,Zablokowane
players-label,Gracze
select-button,WYBIERZ
select-label,WYBIERZ
back-button,POWRÓT
button-label,PRZYCISK
wishlist-on-steam!-label,dodaj do listy życzeń na platformie Steam!
enter-the-tower-button,WEJDŹ DO WIEŻY
library-button,BIBLIOTEKA
library-label,BIBLIOTEKA
workshop-button,WARSZTAT
quit-button,WYJDŹ
market-hover-name,Rynek
market-hover-description,<696969>nowe przedmioty są dodawane na każdym piętrze
market-hover-bottom-hint,pokaż przedmioty
refresh-market-hover-name,ODŚWIEŻ RYNEK
refresh-market-hover-description,<696969>cena resetuje się po każdej bitwie
sell-label,SPRZEDAJ
split-label,PODZIELIĆ
search-line-edit,wyszukaj…
current-battle-label,OBECNA BITWA
turn-1-label,TURA 1
normal-battle-label,ZWYKŁA BITWA
ping-hover-name,Ping
ping-hover-description,
10-label,
open-button,OTWÓRZ
loot-stash-hover-name,Skrzynia łupów
loot-stash-hover-description,<696969>nadmiar łupów trafia tutaj
button-button,PRZYCISK
market-items-label,Przedmioty z rynku
close-button,ZAMKNIJ
waiting-for-all-players-to-connect-label,Oczekiwanie na wszystkich graczy…
floor-record-x-label,Rekord piętra: x
battle-log-button,REJESTR BITEWNY
battle-log-label,REJESTR BITEWNY
feedback-button,OPINIA
feedback-label,OPINIA
confirm-button,POTWIERDŹ
overview-button,przegląd
speedruns-button,speedruny
submit-run-button,prześlij rozgrywkę
version-label,Wersja:
selection-label,wybór
highest-floor-10-label,Najwyższe piętro: 10
top-player-label,NAJLEPSZY GRACZ
time-label,Czas
enter-password-line-edit,wprowadź hasło...
join-button,DOŁĄCZ
password-label,Hasło
connection-type-label,Typ połączenia
challenge-drop-down-selection,Wyzwanie
pvp-no-achievements-drop-down-selection,PvP [Brak osiągnięć]
practice-no-achievements-drop-down-selection,Praktyka [Brak osiągnięć]
public-label,PUBL.
--credits--label,– Autorzy –
thanks-button,DZIĘKUJEMY
no-tutorial-label,Brak samouczka
no-tutorial-info-label-label,Ta gra uważa; że nauka powinna odbywać się poprzez|\n|eksperymentowanie i odkrywanie; a nie poprzez instrukcje.
proceed-button,KONTYNUUJ
items-button,przedmioty
bestiary-button,bestiariusz
synergies-button,synergie
passives-button,umiejętności pasywne
build-planner-label,Rozwój postaci
delete-label,USUŃ
build-1-label,BUILD 1
blue-team-label,NIEBIESKI ZESPÓŁ
+-join-label,[+] DOŁĄCZ
player-name-label,Nazwa gracza
select-adventurer-label,WYBIERZ POSZUKIWACZA PRZYGÓD
red-team-label,CZERWONY ZESPÓŁ
trials-label,PRÓBY
configure-button,KONFIGURUJ
0/4-label,0/4
begin-button,ROZPOCZNIJ
begin-label,ROZPOCZNIJ
restart-button,ZACZNIJ OD NOWA
restart-label,ZACZNIJ OD NOWA
resume-button,WZNÓW
resume-label,WZNÓW
options-button,OPCJE
save-&-exit-button,ZAPISZ I WYJDŹ
text-label,Tekst
controls-button,sterowanie
video-button,grafika
audio-button,dźwięk
misc-button,inne
primary-action-button,główne działanie
key-label,klucz
?-label,
listening-for-input-label,Oczekiwanie na dane wejściowe…
ability-button,umiejętność
skip-button,pomiń
refresh-market-button,odśwież rynek
brightness-label,Jasność
contrast-label,Kontrast
window-mode-label,Tryb w oknie:
resolution-label,Rozdzielczość:
v-sync-label,
music-label,Muzyka
sfx-label,Efekty specjalne
tooltip-lock-time-label,Czas zablokowania okienka z informacjami
language-label,Język:
chromatic-aberration-label,Aberracja chromatyczna
display-run-time-label,Wyświetl czas rozgrywki
screen-shake-label,Drżenie Ekranu
scan-lines-label,Linie skanu
reset-to-defaults-button,PRZYWRÓĆ DO DOMYŚLNYCH
->-label,
end-button,ZAKOŃCZYĆ
enter-endless-button,WEJDŹ W TRYB NIESKOŃCZONY
refresh-merchant-hover-name,ODŚWIEŻ KUPCA
refresh-merchant-hover-description,<696969>oferuje nowe przedmioty
upgrade-label,ULEPSZ
-button,
stance-hover-name,Postawa
activate-endless-button,AKTYWUJ TRYB NIESKOŃCZONY
refresh-mystic-trader-hover-name,ODŚWIEŻ MISTYCZNEGO HANDLARZA
refresh-mystic-trader-hover-description,<696969>wyczarowuje nowe przedmioty
0/3-label,
request-to-dismantle-button,ŻĄDANIE ROZMONTOWANIA
dismantle-button,ROZMONTOWAĆ
windowed-window-mode-name,W oknie
borderless-window-mode-name,Bez ramek
fullscreen-window-mode-name,Pełny ekran
challenge-game-mode-name,Wyzwanie
pvp-game-mode-name,PvP
practice-game-mode-name,Praktyka
-popup,
counter-attack!-popup,Kontratak!
lucky-attack-popup,Szczęśliwy atak
armor-break!-popup,Skruszenie pancerza!
backstabbed-popup,Dźgnięty w plecy
dodged-popup,Uniknięto
parried-popup,Sparowano
blocked-popup,Zablokowano
missed-popup,Chybiono
helmet-socket-name,Hełm
chestplate-socket-name,Napierśnik
leggings-socket-name,Nogawice
boots-socket-name,Buty
necklace-socket-name,Naszyjnik
weapon-socket-name,Broń
ring-socket-name,Pierścień
zefrot-item-name,Zefrot
totem-of-greed-item-name,Totem chciwości
steak-item-name,Stek
ribbon-of-fortune-item-name,Wstęga fortuny
poor-mans-path-item-name,Ścieżka biedaka
pallac-item-name,Pallac
merchant-upgrade-item-name,Ulepszenie kupca
frokt-item-name,Frokt
poor-mans-blade-item-name,Ostrze nędzarza
wooden-shoes-item-name,Drewniane buty
natures-gift-item-name,Dar Natury
magical-stick-item-name,Magiczny patyk
training-hammer-item-name,Młot treningowy
natures-collar-item-name,Wisiorek natury
poor-mans-helmet-item-name,Hełm nędzarza
training-axe-item-name,Topór treningowy
wooden-plates-item-name,Drewniany napierśnik
leather-boots-item-name,Skórzane buty
leather-helmet-item-name,Skórzany hełm
leather-pants-item-name,Skórzane spodnie
leather-chestplate-item-name,Skórzany napierśnik
training-sword-item-name,Miecz treningowy
insightus-item-name,Insightus
amulet-of-life-item-name,Amulet życia
starborn-ring-item-name,Gwiezdny pierścień
recruits-boots-item-name,Buty rekruta
keepsake-item-name,Pamiątka
recruits-hood-item-name,Kaptur rekruta
iron-dagger-item-name,Żelazny sztylet
hunters-boots-item-name,Buty łowcy
hunters-hood-item-name,Kaptur łowcy
recruits-pants-item-name,Spodnie rekruta
chainmail-item-name,Kolczuga
hunters-necklace-item-name,Naszyjnik łowcy
hunters-pants-item-name,Spodnie łowcy
recruits-cloak-item-name,Peleryna rekruta
hunters-ring-item-name,Pierścień łowcy
hunters-jerkin-item-name,Kamizelka łowcy
crystal-staff-item-name,Kryształowy kostur
vitality-ring-item-name,Pierścień witalności
ring-of-anger-item-name,Pierścień gniewu
zephyrons-tome-item-name,Księga Zefirona
silver-ring-item-name,Srebrny pierścień
marauders-helmet-item-name,Hełm marudera
silver-sabatons-item-name,Srebrne trzewiki
silver-helmet-item-name,Srebrny hełm
life-seeker-item-name,Poszukiwacz Życia
silver-leggings-item-name,Srebrne nogawice
zephyrons-magical-shoes-item-name,Magiczne buty Zefirona
silver-chestplate-item-name,Srebrny napierśnik
zephyrons-eye-item-name,Oko Zefirona
bastolics-guardian-item-name,Strażnik Bastolica
silver-sword-item-name,Srebrny miecz
zephyrons-magical-ring-item-name,Magiczny pierścień Zefirona
bastolics-gauntlet-item-name,Rękawica Bastolica
zephyrons-magical-cloak-item-name,Magiczna peleryna Zefirona
zephyrons-magical-cap-item-name,Magiczne nakrycie głowy Zefirona
zephyrons-magical-staff-item-name,Magiczny kostur Zephyrona
believers-locket-item-name,Medalion wiernego
silver-axe-item-name,Srebrny topór
tome-of-arcanum-item-name,Księga wiedzy tajemnej
arcanum-hood-item-name,Kaptur Arkanum
golden-dagger-item-name,Złoty sztylet
golden-sabatons-item-name,Złote trzewiki
golden-helmet-item-name,Złoty hełm
arcanum-shoes-item-name,Buty wiedzy tajemnej
golden-leggings-item-name,Złote nogawice
arcanum-robe-item-name,Szata wiedzy tajemnej
golden-chestplate-item-name,Złoty napierśnik
precious-ring-item-name,Drogocenny pierścień
magic-wand-item-name,Magiczna różdżka
golden-crown-item-name,Złota korona
golden-warden-item-name,Złoty Strażnik
greeds-grasp-item-name,Chwyt Chciwości
golden-sword-item-name,Złoty miecz
omni-ring-item-name,Wszechpierścień
darkwood-plates-item-name,Zbroja z ciemnego drewna
tome-of-attacks-item-name,Księga Ataków
warriors-sabatons-item-name,Trzewiki wojownika
hunger-blade-item-name,Ostrze łowcy
warriors-helmet-item-name,Hełm wojownika
famished-blade-item-name,Wygłodzone ostrze
unchained-gauntlet-item-name,Wyzwolona rękawica
blackthorn-sabatons-item-name,Szabaty czarnego ciernia
warriors-leggings-item-name,Nogawice wojownika
blackthorn-leggings-item-name,Nogawice czarnego ciernia
warriors-chestplate-item-name,Napierśnik wojownika
warriors-war-hammer-item-name,Młot bojowy wojownika
blackthorn-chestplate-item-name,Napierśnik czarnego ciernia
unchained-ring-item-name,Wyzwolony pierścień
hy-sword-item-name,HyMiecz
pantaloons-of-greatness-item-name,Pantalony wspaniałości
warriors-ring-item-name,Pierścień wojownika
blackthorn-crown-item-name,Korona czarnego ciernia
orions-core-item-name,Rdzeń Oriona
orions-path-item-name,Ścieżka Oriona
orions-destiny-item-name,Przeznaczenie Oriona
orions-leggings-item-name,Nogawice Oriona
orions-sanguine-salvation-item-name,Krwawe Zbawienie Oriona
orions-heart-item-name,Serce Oriona
orions-rage-item-name,Furia Oriona
living-boots-item-name,Żywe buty
living-helmet-item-name,Żywy hełm
living-leggings-item-name,Żywe nogawice
living-chestplate-item-name,Żywy napierśnik
berserkers-axe-item-name,Topór berserka
berserkers-helmet-item-name,Hełm Berserkera
eldrids-ring-item-name,Pierścień Eldrida
ring-of-power-item-name,Pierścień mocy
silver-heart-item-name,Srebrne Serce
thunderiders-item-name,Jeźdźcy Gromu
thunderhelm-item-name,Hełm gromu
royal-sabatons-item-name,Królewskie trzewiki
royal-helmet-item-name,Królewski hełm
royal-leggings-item-name,Królewskie nogawice
thunderstriders-item-name,Kroki Gromu
royal-chestplate-item-name,Królewski napierśnik
thundergrace-item-name,Gracja Gromu
thunderblade-item-name,Ostrze gromu
thundervow-item-name,Przysięga Gromu
iron-eater-item-name,Pożeracz żelaza
tome-of-darkness-item-name,Księga ciemności
witherscar-item-name,Blizna Uschnięcia
dark-magical-ring-item-name,Czarnomagiczny pierścień
nighthorn-item-name,Nocny Cierń
ashcrow-item-name,Popiołkruk
dark-harness-item-name,Mroczna uprząż
alchemists-wisdom-item-name,Mądrość Alchemika
shadow-wisdom-item-name,Mądrość Cieni
shadow-ring-item-name,Pierścień cieni
shadow-piercer-item-name,Przebijacz Cieni
demonic-sabatons-item-name,Demoniczne trzewiki
shadow-cloak-item-name,Opończa cieni
shadow-echo-item-name,Echo Cieni
demonic-helmet-item-name,Demoniczny hełm
demonic-axe-item-name,Demoniczny topór
shadow-sentence-item-name,Wyrok Cieni
shadow-vortex-item-name,Wir Cieni
demonic-leggings-item-name,Demoniczne nogawice
demonic-claymore-item-name,Demoniczny wielki miecz
demonic-chestplate-item-name,Demoniczny napierśnik
demonic-ring-item-name,Demoniczny pierścień
shard-of-power-item-name,Odłamek Mocy
emperors-will-item-name,Wola Cesarza
wooden-crown-item-name,Drewniana korona
witchcraft-leggings-item-name,Legginsy czarownicy
cursed-ring-item-name,Przeklęty pierścień
cursed-necklace-item-name,Przeklęty Naszyjnik
mask-of-the-cursed-item-name,Maska przeklętych
blade-of-the-ruined-item-name,Ostrze zrujnowanych
lightning-boots-item-name,Buty Błyskawicy
shamans-robe-item-name,Szata szamana
turtle-sabatons-item-name,Żółwiowe trzewiki
turtle-leggings-item-name,Żółwiowe nogawice
cowards-ring-item-name,Pierścień Tchórza
soul-collector-item-name,Kolekcjoner Dusz
heart-of-gold-item-name,Złote Serce
turtle-chestplate-item-name,Żółwiowy napierśnik
elemental-necklace-item-name,Naszyjnik żywiołów
giants-ring-item-name,Pierścień olbrzymów
black-oath-item-name,Czarna przysięga
turtle-gauntlet-item-name,Rękawica Żółwia
gloom-item-name,Przygnębienie
qolk-item-name,Qolk
blake-item-name,Blake
vampiric-helmet-item-name,Wampiryczny hełm
vampiric-chestplate-item-name,Wampiryczny napierśnik
glimmer-item-name,Połysk
vurk-item-name,Vurk
bloodedge-item-name,Ostrze Krwi
ethercrests-tome-item-name,Księga Eterkresta
ethercrests-sabatons-item-name,Trzewiki Eterkresta
ethercrests-blade-item-name,Ostrze Eterkresta
ethercrests-helmet-item-name,Hełm Eterkresta
ethercrests-staff-item-name,Kostur Eterkresta
ethercrests-sword-item-name,Miecz Eterkresta
ethercrests-leggings-item-name,Nogawice Eterkresta
ethercrests-chestplate-item-name,Napierśnik Eterkresta
ethercrests-ring-item-name,Pierścień Eterkresta
mask-of-cataclysm-item-name,Maska kataklizmu
ring-of-interest-item-name,Pierścień zainteresowania
rod-of-doom-item-name,Laska zagłady
shadow-whisper-item-name,Szept Cieni
magma-sabatons-item-name,Trzewiki magmy
magma-helmet-item-name,Hełm magmy
magma-leggings-item-name,Nogawice magmy
magma-chestplate-item-name,Napierśnik magmy
magma-necklace-item-name,Naszyjnik z magmy
magma-poleaxe-item-name,Topór magmy
ring-of-ice-item-name,Pierścień lodu
jesters-bone-mask-item-name,Maska z kości błazna
celestial-sabatons-item-name,Selarze niebiańskie
celestial-helmet-item-name,Niebiański hełm
celestial-leggings-item-name,Niebiańskie Nogawice
celestial-chestplate-item-name,Niebiański napierśnik
throngler-item-name,Wymiatacz
dawnbringer-item-name,Miecz Świtu
ring-of-unity-item-name,Pierścień jedności
excalibur-item-name,Ekskalibur
ribbon-of-fortune-item-description,<696969>+25% szans na zdobycie dodatkowego przedmiotu podczas|\n|<696969>otwierania skrzyni
merchant-upgrade-item-description,Odblokowuje |[tinker]|
bloodedge-item-description,<696969>stawał się silniejszy z każdym zabójstwem
excalibur-item-description,<696969>dar od jeziora
bat-enemy-name,Nietoperz
leafing-enemy-name,Liściątko
fronk-enemy-name,Żabiak
boar-enemy-name,Dzik
snow-pix-enemy-name,Śnieżny duszek
pebbling-enemy-name,Kamyczątko
slime-enemy-name,Glutek
rat-enemy-name,Szczur
goblin-enemy-name,Goblin
skeleton-warrior-enemy-name,Szkielet wojownik
shadow-wizard-enemy-name,Czarny mag
jellyrak-enemy-name,Meduziak
efis-enemy-name,Efis
rogue-enemy-name,Łotr
slorn-enemy-name,Cierniak
armored-goblin-enemy-name,Opancerzony goblin
stone-golem-enemy-name,Kamienny golem
witch-enemy-name,Wiedźma
wizard-skeleton-enemy-name,Szkielet mag
giant-spider-enemy-name,Ogromny pająk
blood-ghoul-enemy-name,Krwawy ghul
armored-spirit-enemy-name,Opancerzona dusza
red-orc-enemy-name,Czerwony ork
snow-wraith-enemy-name,Śnieżny upiór
venomous-spider-enemy-name,Jadowity pająk
harpy-enemy-name,Harpia
bravura-enemy-name,Brawura
fire-dragon-enemy-name,Ognisty smok
void-squid-enemy-name,Kałamarnica pustki
brother-enemy-name,Brat
shadow-ghost-enemy-name,Duch cieni
kotya-enemy-name,Kotya
magma-golem-enemy-name,Magmowy golem
overseer-enemy-name,Nadzorca
braskap-enemy-name,Braskap
cloud-dragon-enemy-name,Smok chmur
ruined-king-enemy-name,Zrujnowany król
blinded-priest-enemy-name,Ślepy kapłan
morizon-enemy-name,Morizon
moon-enemy-name,Księżyc
cursed-abomination-enemy-name,Przeklęta Ohyda
mars-enemy-name,Mars
pinto-enemy-name,Pinto
neptune-enemy-name,Neptun
thunder-dragon-enemy-name,Smoczyca piorunów
eldrids-flesh-enemy-name,Mięso Eldrida
golden-guardian-enemy-name,Złoty obrońca
venus-enemy-name,Wenus
jupiter-enemy-name,Jowisz
saturn-enemy-name,Saturn
uranus-enemy-name,Uran
sun-enemy-name,Słońce
iron-golem-enemy-name,Żelazny golem
windwatcher-enemy-name,Obserwator wiatru
graven-enemy-name,Graven
death-enemy-name,Śmierć
perfect-slave-enemy-name,Doskonały niewolnik
common-chest-enemy-name,Zwykła Skrzynia
golden-chest-enemy-name,Złota Skrzynia
heart-of-the-tower-enemy-name,Serce Wieży
merchant-enemy-name,Kupiec
mystic-bison-enemy-name,Mistyczny Bizon
mystic-trader-enemy-name,Mistyczny Handlarz
training-dummy-enemy-name,Manekin Treningowy
ancient-ice-item-set-name,Pradawnego lodu
ancient-shell-item-set-name,Pradawnej skorupy
arcanum-item-set-name,Wiedzy tajemnej
bastolic-item-set-name,Bastolic
berserker-item-set-name,Berserka
blackthorn-item-set-name,Czarnego ciernia
cataclysm-item-set-name,Kataklizmu
celestial-item-set-name,Niebiański
chromalure-item-set-name,Barwnego wabika
consumable-item-set-name,Przedmiot jednorazowy
cursed-item-set-name,Przeklęty
darkness-item-set-name,Ciemności
demonic-item-set-name,Demoniczny
essential-item-set-name,Podstawowe
flesh-item-set-name,Mięsny
generic-item-set-name,Zwykły
golden-item-set-name,Złoty
hunter-item-set-name,Łowcy
jade-item-set-name,Jadeitowy
legacy-item-set-name,Odziedziczony
magma-item-set-name,Magmy
mercenary-item-set-name,Najemnika
orion-item-set-name,Oriona
phantom-item-set-name,Upiorny
poverty-item-set-name,Biedy
reforge-item-set-name,Przekucie
royal-item-set-name,Królewski
scout-item-set-name,Zwiadowcy
shadow-item-set-name,Cieni
silver-item-set-name,Srebrny
swiftness-item-set-name,Zwinności
thunder-item-set-name,Gromu
tome-item-set-name,Księga
unchained-item-set-name,Wyzwolony
vampiric-item-set-name,Wampiryczny
warrior-item-set-name,Wojownika
wood-item-set-name,Drewniany
zephyron-item-set-name,Zefiron
beastbound-specialization-name,Bestial
bloodcaster-specialization-name,Mag krwi
vampiercer-specialization-name,Przebijacz wampirów
venomire-specialization-name,Jadompir
bloodmoon-specialization-name,Krwawy księżyc
moonlighter-specialization-name,Nocny poszukiwacz
nighthrust-specialization-name,Nocne pchnięcie
challenger-specialization-name,Pretendent
chromaguard-specialization-name,Ochrona chromatyczna
chromaspite-specialization-name,Odwrócenie chromatyczne
chromathorn-specialization-name,Chromatyczny cierń
cinderthorn-specialization-name,Cierń żaru
mindthorn-specialization-name,Cierń umysłu
thornfrost-specialization-name,Mroźny cierń
dauntless-specialization-name,Nieustraszony
quickblade-specialization-name,Szybkie ostrze
rampager-specialization-name,Awanturnik
thunderborn-specialization-name,Gromowładny
debilitator-specialization-name,Osłabiacz
mindbreaker-specialization-name,Łamacz umysłu
deserter-specialization-name,Dezerter
faithbound-specialization-name,Związany wiarą
echomancer-specialization-name,Echomanta
evadium-specialization-name,Uchylacz
invulnerium-specialization-name,Niezniszczalnik
stunium-specialization-name,Ogłuszacz
harbinger-specialization-name,Zwiastun
lionheart-specialization-name,Lwie serce
pursuer-specialization-name,Prześladowca
striker-specialization-name,Napastnik
windwalker-specialization-name,Wietrzny wędrowiec
accuracy-stat-name,Celność
active-armor-stat-name,Aktywny pancerz
adaptive-attack-stat-name,Adaptacyjny atak
agility-stat-name,Zwinność
armor-stat-name,Pancerz
armor-damage-stat-name,Obrażenia od Pancerza
armor-shields-stat-name,Tarcze pancerza
armor-steal-stat-name,Kradzież pancerza
armored-attack-stat-name,Opancerzony Atak
blackrot-damage-stat-name,Obrażenia od czarnej zgnilizny
bleed-damage-stat-name,Obrażenia od Krwawienia
cinder-damage-stat-name,Obrażenia od żaru
combat-stat-name,Walka
crit-chance-stat-name,Szansa na cios krytyczny
critical-damage-stat-name,Obrażenia krytyczne
dazzle-stat-name,Blask
dazzle-damage-stat-name,Obrażenia od blasku
diamond-stat-name,Diament
eldership-stat-name,Starszyzna
electric-damage-stat-name,Obrażenia od elektryczności
electricity-stat-name,Elektryczność
elemental-power-stat-name,Moc żywiołów
elemental-resistance-stat-name,Odporność na żywioły
energy-stat-name,Energia
faith-stat-name,Wiara
flow-stat-name,Przepływ
freeze-attack-stat-name,Atak zamrażający
freeze-damage-stat-name,Obrażenia od zamrożenia
gold-stat-name,Złoto
gold-on-kill-stat-name,Złoto za zabójstwo
